,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,3,75.00%,1,25.00%,307,82.70%,64,17.30%,16,80.00%,4,20.00%,49,84.50%,9,15.50%,4,100.00%,0,0.00%,305,91.90%,27,8.10%,15,93.80%,1,6.30%,67,87.00%,10,13.00%,51,92.70%,4,7.30%,74,84.10%,14,15.90%,19,95.00%,1,5.00%,274,92.90%,21,7.10%,10,100.00%
Dyfed Powys,4,80.00%,1,20.00%,218,83.20%,44,16.80%,8,50.00%,8,50.00%,24,88.90%,3,11.10%,3,75.00%,1,25.00%,96,97.00%,3,3.00%,7,100.00%,0,0.00%,44,84.60%,8,15.40%,131,97.00%,4,3.00%,58,90.60%,6,9.40%,13,86.70%,2,13.30%,192,82.10%,42,17.90%,7,100.00%
Essex,8,66.70%,4,33.30%,833,81.30%,192,18.70%,139,79.00%,37,21.00%,91,87.50%,13,12.50%,19,90.50%,2,9.50%,451,91.90%,40,8.10%,56,76.70%,17,23.30%,133,88.70%,17,11.30%,254,96.20%,10,3.80%,148,88.60%,19,11.40%,52,81.30%,12,18.80%,530,86.20%,85,13.80%,41,100.00%
Gloucestershire,3,100.00%,0,0.00%,197,78.20%,55,21.80%,11,91.70%,1,8.30%,25,92.60%,2,7.40%,3,60.00%,2,40.00%,207,95.00%,11,5.00%,21,84.00%,4,16.00%,43,86.00%,7,14.00%,75,97.40%,2,2.60%,37,75.50%,12,24.50%,15,100.00%,0,0.00%,200,93.00%,15,7.00%,27,100.00%
GreaterManchester,23,85.20%,4,14.80%,1596,80.90%,376,19.10%,253,72.90%,94,27.10%,178,91.80%,16,8.20%,81,89.00%,10,11.00%,683,95.00%,36,5.00%,77,91.70%,7,8.30%,267,87.80%,37,12.20%,353,93.10%,26,6.90%,357,89.50%,42,10.50%,127,86.40%,20,13.60%,970,81.90%,215,18.10%,61,100.00%
Gwent,5,83.30%,1,16.70%,316,84.00%,60,16.00%,28,82.40%,6,17.60%,44,81.50%,10,18.50%,4,100.00%,0,0.00%,247,93.60%,17,6.40%,25,96.20%,1,3.80%,63,85.10%,11,14.90%,105,92.90%,8,7.10%,88,89.80%,10,10.20%,11,91.70%,1,8.30%,260,85.20%,45,14.80%,8,100.00%
Hampshire,8,80.00%,2,20.00%,732,84.30%,136,15.70%,98,76.60%,30,23.40%,80,93.00%,6,7.00%,10,83.30%,2,16.70%,564,94.90%,30,5.10%,70,86.40%,11,13.60%,100,87.70%,14,12.30%,230,96.20%,9,3.80%,186,82.30%,40,17.70%,53,89.80%,6,10.20%,548,92.60%,44,7.40%,53,100.00%
Hertfordshire,7,100.00%,0,0.00%,508,78.60%,138,21.40%,36,75.00%,12,25.00%,49,86.00%,8,14.00%,11,84.60%,2,15.40%,483,92.50%,39,7.50%,59,83.10%,12,16.90%,80,83.30%,16,16.70%,230,94.70%,13,5.30%,131,84.50%,24,15.50%,32,91.40%,3,8.60%,413,82.60%,87,17.40%,48,100.00%
Humberside,5,83.30%,1,16.70%,633,85.00%,112,15.00%,59,74.70%,20,25.30%,88,88.00%,12,12.00%,27,75.00%,9,25.00%,413,94.10%,26,5.90%,36,94.70%,2,5.30%,112,87.50%,16,12.50%,169,92.30%,14,7.70%,205,88.40%,27,11.60%,34,94.40%,2,5.60%,324,90.30%,35,9.70%,31,100.00%
Kent,17,77.30%,5,22.70%,817,77.40%,239,22.60%,68,73.10%,25,26.90%,72,82.80%,15,17.20%,26,92.90%,2,7.10%,448,89.20%,54,10.80%,81,87.10%,12,12.90%,126,84.00%,24,16.00%,270,94.40%,16,5.60%,197,83.50%,39,16.50%,78,86.70%,12,13.30%,459,89.30%,55,10.70%,59,100.00%
Lancashire,4,100.00%,0,0.00%,691,79.40%,179,20.60%,50,90.90%,5,9.10%,141,93.40%,10,6.60%,28,68.30%,13,31.70%,653,95.20%,33,4.80%,52,91.20%,5,8.80%,149,86.10%,24,13.90%,209,92.90%,16,7.10%,300,88.80%,38,11.20%,65,86.70%,10,13.30%,629,83.20%,127,16.80%,43,100.00%
Leicestershire,5,83.30%,1,16.70%,465,83.80%,90,16.20%,73,76.80%,22,23.20%,54,87.10%,8,12.90%,14,70.00%,6,30.00%,285,92.20%,24,7.80%,40,85.10%,7,14.90%,98,82.40%,21,17.60%,93,94.90%,5,5.10%,114,87.00%,17,13.00%,16,84.20%,3,15.80%,336,83.40%,67,16.60%,24,100.00%
Lincolnshire,4,66.70%,2,33.30%,400,78.70%,108,21.30%,18,100.00%,0,0.00%,62,96.90%,2,3.10%,13,92.90%,1,7.10%,264,90.40%,28,9.60%,28,80.00%,7,20.00%,63,81.80%,14,18.20%,80,95.20%,4,4.80%,125,88.00%,17,12.00%,33,78.60%,9,21.40%,380,80.70%,91,19.30%,36,100.00%
Merseyside,8,80.00%,2,20.00%,985,83.60%,193,16.40%,96,75.00%,32,25.00%,52,89.70%,6,10.30%,17,94.40%,1,5.60%,547,94.50%,32,5.50%,55,91.70%,5,8.30%,120,81.60%,27,18.40%,538,93.90%,35,6.10%,215,88.50%,28,11.50%,76,88.40%,10,11.60%,677,86.50%,106,13.50%,59,100.00%
Metropolitan and City,54,64.30%,30,35.70%,4952,69.80%,2139,30.20%,500,67.70%,239,32.30%,565,81.90%,125,18.10%,234,70.90%,96,29.10%,2732,85.30%,470,14.70%,778,84.10%,147,15.90%,677,75.60%,219,24.40%,3105,91.20%,301,8.80%,1415,76.60%,433,23.40%,300,80.40%,73,19.60%,2958,79.40%,769,20.60%,717,100.00%
Norfolk,1,100.00%,0,0.00%,492,84.20%,92,15.80%,39,81.30%,9,18.80%,41,97.60%,1,2.40%,9,90.00%,1,10.00%,406,95.50%,19,4.50%,26,83.90%,5,16.10%,107,87.70%,15,12.30%,188,95.90%,8,4.10%,254,94.40%,15,5.60%,38,92.70%,3,7.30%,380,94.30%,23,5.70%,33,100.00%
Northamptonshire,3,75.00%,1,25.00%,310,78.50%,85,21.50%,19,95.00%,1,5.00%,29,85.30%,5,14.70%,13,86.70%,2,13.30%,211,90.90%,21,9.10%,30,96.80%,1,3.20%,74,81.30%,17,18.70%,80,94.10%,5,5.90%,75,89.30%,9,10.70%,21,87.50%,3,12.50%,239,85.40%,41,14.60%,35,100.00%
Northumbria,10,76.90%,3,23.10%,797,75.40%,260,24.60%,138,66.30%,70,33.70%,129,75.40%,42,24.60%,16,55.20%,13,44.80%,806,90.70%,83,9.30%,67,81.70%,15,18.30%,212,80.30%,52,19.70%,216,90.00%,24,10.00%,425,82.70%,89,17.30%,48,78.70%,13,21.30%,595,76.00%,188,24.00%,54,100.00%
North Wales,4,80.00%,1,20.00%,410,79.50%,106,20.50%,54,71.10%,22,28.90%,47,92.20%,4,7.80%,3,100.00%,0,0.00%,336,97.40%,9,2.60%,36,87.80%,5,12.20%,83,86.50%,13,13.50%,110,97.30%,3,2.70%,158,91.30%,15,8.70%,39,97.50%,1,2.50%,311,89.60%,36,10.40%,23,100.00%
North Yorkshire,3,100.00%,0,0.00%,382,81.30%,88,18.70%,19,79.20%,5,20.80%,33,82.50%,7,17.50%,4,100.00%,0,0.00%,358,93.70%,24,6.30%,16,76.20%,5,23.80%,108,93.10%,8,6.90%,120,97.60%,3,2.40%,142,87.70%,20,12.30%,51,92.70%,4,7.30%,338,88.30%,45,11.70%,21,100.00%
Nottinghamshire,12,80.00%,3,20.00%,764,77.60%,221,22.40%,135,76.30%,42,23.70%,78,86.70%,12,13.30%,13,72.20%,5,27.80%,501,90.30%,54,9.70%,45,90.00%,5,10.00%,134,79.80%,34,20.20%,337,92.30%,28,7.70%,235,79.70%,60,20.30%,57,95.00%,3,5.00%,440,83.50%,87,16.50%,77,100.00%
South Wales,13,92.90%,1,7.10%,1022,75.60%,329,24.40%,83,72.20%,32,27.80%,103,88.00%,14,12.00%,22,73.30%,8,26.70%,703,95.60%,32,4.40%,62,89.90%,7,10.10%,195,87.80%,27,12.20%,486,96.00%,20,4.00%,322,85.60%,54,14.40%,48,84.20%,9,15.80%,698,88.70%,89,11.30%,69,100.00%
South Yorkshire,7,87.50%,1,12.50%,627,75.90%,199,24.10%,27,87.10%,4,12.90%,82,82.80%,17,17.20%,23,67.60%,11,32.40%,685,93.10%,51,6.90%,37,88.10%,5,11.90%,174,80.60%,42,19.40%,229,94.20%,14,5.80%,260,90.00%,29,10.00%,32,94.10%,2,5.90%,542,87.70%,76,12.30%,88,100.00%
Staffordshire,3,100.00%,0,0.00%,580,76.40%,179,23.60%,79,80.60%,19,19.40%,65,87.80%,9,12.20%,4,80.00%,1,20.00%,458,95.40%,22,4.60%,32,78.00%,9,22.00%,146,86.40%,23,13.60%,191,91.80%,17,8.20%,188,85.80%,31,14.20%,39,90.70%,4,9.30%,443,85.90%,73,14.10%,38,100.00%
Suffolk,2,66.70%,1,33.30%,340,85.90%,56,14.10%,24,85.70%,4,14.30%,20,80.00%,5,20.00%,4,80.00%,1,20.00%,155,96.90%,5,3.10%,16,88.90%,2,11.10%,76,90.50%,8,9.50%,122,91.00%,12,9.00%,107,88.40%,14,11.60%,12,92.30%,1,7.70%,271,95.80%,12,4.20%,33,100.00%
Surrey,0,-,0,-,333,78.00%,94,22.00%,51,68.00%,24,32.00%,21,84.00%,4,16.00%,7,77.80%,2,22.20%,136,91.90%,12,8.10%,24,77.40%,7,22.60%,43,81.10%,10,18.90%,92,94.80%,5,5.20%,75,86.20%,12,13.80%,22,88.00%,3,12.00%,324,94.50%,19,5.50%,31,100.00%
Sussex,0,-,0,-,641,84.50%,118,15.50%,83,75.50%,27,24.50%,81,94.20%,5,5.80%,27,79.40%,7,20.60%,347,95.60%,16,4.40%,53,86.90%,8,13.10%,89,87.30%,13,12.70%,247,96.50%,9,3.50%,183,89.30%,22,10.70%,31,88.60%,4,11.40%,567,92.20%,48,7.80%,56,100.00%
Thames Valley,14,100.00%,0,0.00%,990,75.40%,323,24.60%,132,64.70%,72,35.30%,127,79.90%,32,20.10%,31,60.80%,20,39.20%,647,93.50%,45,6.50%,83,89.20%,10,10.80%,145,86.80%,22,13.20%,378,92.40%,31,7.60%,254,75.10%,84,24.90%,67,80.70%,16,19.30%,748,86.00%,122,14.00%,95,100.00%
Warwickshire,1,100.00%,0,0.00%,212,83.10%,43,16.90%,36,85.70%,6,14.30%,19,86.40%,3,13.60%,6,100.00%,0,0.00%,223,97.40%,6,2.60%,25,80.60%,6,19.40%,41,95.30%,2,4.70%,44,100.00%,0,0.00%,79,84.90%,14,15.10%,8,88.90%,1,11.10%,202,82.40%,43,17.60%,19,100.00%
West Mercia,5,100.00%,0,0.00%,650,84.00%,124,16.00%,89,74.80%,30,25.20%,55,83.30%,11,16.70%,10,58.80%,7,41.20%,449,94.30%,27,5.70%,34,82.90%,7,17.10%,114,85.70%,19,14.30%,182,94.80%,10,5.20%,207,87.30%,30,12.70%,38,90.50%,4,9.50%,617,85.80%,102,14.20%,40,100.00%
West Midlands,17,70.80%,7,29.20%,2014,78.20%,561,21.80%,184,66.40%,93,33.60%,208,80.90%,49,19.10%,124,80.50%,30,19.50%,1664,93.10%,124,6.90%,198,93.40%,14,6.60%,287,88.90%,36,11.10%,677,93.90%,44,6.10%,689,85.70%,115,14.30%,213,91.40%,20,8.60%,1086,84.40%,200,15.60%,235,100.00%
West Yorkshire,10,66.70%,5,33.30%,1371,79.70%,350,20.30%,171,72.20%,66,27.80%,187,82.40%,40,17.60%,47,78.30%,13,21.70%,865,93.40%,61,6.60%,88,85.40%,15,14.60%,267,87.00%,40,13.00%,418,95.40%,20,4.60%,360,86.70%,55,13.30%,86,90.50%,9,9.50%,844,84.60%,154,15.40%,103,100.00%
Wiltshire,1,100.00%,0,0.00%,288,88.90%,36,11.10%,30,76.90%,9,23.10%,24,96.00%,1,4.00%,8,88.90%,1,11.10%,176,96.70%,6,3.30%,30,93.80%,2,6.30%,48,81.40%,11,18.60%,74,93.70%,5,6.30%,76,87.40%,11,12.60%,17,100.00%,0,0.00%,206,93.20%,15,6.80%,11,100.00%
