,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,2,100.00%,0,0.00%,325,87.80%,45,12.20%,21,87.50%,3,12.50%,47,85.50%,8,14.50%,9,100.00%,0,0.00%,307,94.50%,18,5.50%,39,95.10%,2,4.90%,60,78.90%,16,21.10%,58,93.50%,4,6.50%,85,89.50%,10,10.50%,19,90.50%,2,9.50%,275,93.20%,20,6.80%,14,100.00%
Dyfed Powys,4,100.00%,0,0.00%,214,86.30%,34,13.70%,19,86.40%,3,13.60%,17,85.00%,3,15.00%,2,66.70%,1,33.30%,110,93.20%,8,6.80%,11,84.60%,2,15.40%,50,98.00%,1,2.00%,97,95.10%,5,4.90%,65,90.30%,7,9.70%,12,100.00%,0,0.00%,174,81.70%,39,18.30%,8,100.00%
Essex,13,86.70%,2,13.30%,761,83.60%,149,16.40%,101,78.90%,27,21.10%,95,96.00%,4,4.00%,18,75.00%,6,25.00%,384,92.30%,32,7.70%,53,76.80%,16,23.20%,116,89.20%,14,10.80%,222,92.50%,18,7.50%,155,87.10%,23,12.90%,27,79.40%,7,20.60%,623,80.30%,153,19.70%,69,100.00%
Gloucestershire,3,100.00%,0,0.00%,215,77.60%,62,22.40%,14,93.30%,1,6.70%,11,91.70%,1,8.30%,3,60.00%,2,40.00%,117,95.90%,5,4.10%,26,100.00%,0,0.00%,59,86.80%,9,13.20%,74,93.70%,5,6.30%,40,78.40%,11,21.60%,12,85.70%,2,14.30%,202,92.70%,16,7.30%,26,100.00%
GreaterManchester,17,89.50%,2,10.50%,1278,80.00%,319,20.00%,212,69.70%,92,30.30%,122,92.40%,10,7.60%,79,87.80%,11,12.20%,427,92.80%,33,7.20%,96,83.50%,19,16.50%,218,91.60%,20,8.40%,363,93.10%,27,6.90%,400,87.70%,56,12.30%,66,88.00%,9,12.00%,874,83.20%,176,16.80%,101,100.00%
Gwent,0,-,0,-,279,82.50%,59,17.50%,16,80.00%,4,20.00%,20,90.90%,2,9.10%,12,75.00%,4,25.00%,197,96.10%,8,3.90%,16,88.90%,2,11.10%,61,81.30%,14,18.70%,100,94.30%,6,5.70%,75,86.20%,12,13.80%,22,95.70%,1,4.30%,257,86.20%,41,13.80%,18,100.00%
Hampshire,6,100.00%,0,0.00%,818,78.10%,229,21.90%,82,75.20%,27,24.80%,71,91.00%,7,9.00%,18,81.80%,4,18.20%,541,92.50%,44,7.50%,67,93.10%,5,6.90%,123,88.50%,16,11.50%,212,95.90%,9,4.10%,184,88.90%,23,11.10%,55,84.60%,10,15.40%,591,90.90%,59,9.10%,56,100.00%
Hertfordshire,3,100.00%,0,0.00%,380,78.50%,104,21.50%,20,90.90%,2,9.10%,37,88.10%,5,11.90%,8,47.10%,9,52.90%,382,93.60%,26,6.40%,57,87.70%,8,12.30%,84,86.60%,13,13.40%,205,97.20%,6,2.80%,100,78.70%,27,21.30%,23,79.30%,6,20.70%,388,80.20%,96,19.80%,46,100.00%
Humberside,7,87.50%,1,12.50%,539,82.80%,112,17.20%,33,91.70%,3,8.30%,55,85.90%,9,14.10%,15,68.20%,7,31.80%,420,95.90%,18,4.10%,41,87.20%,6,12.80%,112,94.10%,7,5.90%,117,94.40%,7,5.60%,177,91.20%,17,8.80%,28,77.80%,8,22.20%,257,91.50%,24,8.50%,38,100.00%
Kent,16,80.00%,4,20.00%,854,77.80%,243,22.20%,71,83.50%,14,16.50%,70,86.40%,11,13.60%,11,68.80%,5,31.30%,424,92.80%,33,7.20%,91,92.90%,7,7.10%,151,88.30%,20,11.70%,213,95.10%,11,4.90%,181,85.80%,30,14.20%,71,89.90%,8,10.10%,519,89.00%,64,11.00%,112,100.00%
Lancashire,7,63.60%,4,36.40%,788,77.60%,227,22.40%,42,89.40%,5,10.60%,100,84.70%,18,15.30%,27,84.40%,5,15.60%,605,93.80%,40,6.20%,48,77.40%,14,22.60%,175,85.00%,31,15.00%,186,93.50%,13,6.50%,341,89.70%,39,10.30%,41,83.70%,8,16.30%,608,85.80%,101,14.20%,40,100.00%
Leicestershire,6,100.00%,0,0.00%,510,82.80%,106,17.20%,68,68.00%,32,32.00%,54,91.50%,5,8.50%,15,71.40%,6,28.60%,274,92.60%,22,7.40%,35,89.70%,4,10.30%,109,87.20%,16,12.80%,85,93.40%,6,6.60%,171,89.10%,21,10.90%,24,88.90%,3,11.10%,372,74.10%,130,25.90%,36,100.00%
Lincolnshire,2,66.70%,1,33.30%,351,82.60%,74,17.40%,15,88.20%,2,11.80%,43,91.50%,4,8.50%,4,100.00%,0,0.00%,254,93.00%,19,7.00%,28,82.40%,6,17.60%,74,91.40%,7,8.60%,97,91.50%,9,8.50%,115,89.80%,13,10.20%,28,96.60%,1,3.40%,380,80.90%,90,19.10%,32,100.00%
Merseyside,10,100.00%,0,0.00%,831,81.60%,187,18.40%,72,79.10%,19,20.90%,61,93.80%,4,6.20%,20,83.30%,4,16.70%,509,94.60%,29,5.40%,42,89.40%,5,10.60%,170,90.90%,17,9.10%,621,95.40%,30,4.60%,326,90.30%,35,9.70%,39,76.50%,12,23.50%,808,90.40%,86,9.60%,52,100.00%
Metropolitan and City,51,65.40%,27,34.60%,3577,70.40%,1501,29.60%,344,67.30%,167,32.70%,452,83.20%,91,16.80%,236,76.60%,72,23.40%,1743,85.00%,308,15.00%,511,81.20%,118,18.80%,547,82.80%,114,17.20%,2490,91.60%,227,8.40%,1205,77.80%,343,22.20%,429,87.90%,59,12.10%,2856,77.00%,852,23.00%,571,100.00%
Norfolk,0,-,0,-,474,87.90%,65,12.10%,27,84.40%,5,15.60%,37,94.90%,2,5.10%,8,53.30%,7,46.70%,276,96.50%,10,3.50%,40,93.00%,3,7.00%,91,87.50%,13,12.50%,192,99.50%,1,0.50%,257,92.40%,21,7.60%,32,88.90%,4,11.10%,395,92.90%,30,7.10%,37,100.00%
Northamptonshire,6,66.70%,3,33.30%,310,76.90%,93,23.10%,14,93.30%,1,6.70%,32,76.20%,10,23.80%,12,92.30%,1,7.70%,145,89.50%,17,10.50%,23,92.00%,2,8.00%,63,88.70%,8,11.30%,90,87.40%,13,12.60%,74,89.20%,9,10.80%,25,92.60%,2,7.40%,263,91.60%,24,8.40%,32,100.00%
Northumbria,7,87.50%,1,12.50%,824,72.80%,308,27.20%,114,72.60%,43,27.40%,134,83.80%,26,16.30%,21,80.80%,5,19.20%,653,91.80%,58,8.20%,71,87.70%,10,12.30%,194,85.10%,34,14.90%,178,94.70%,10,5.30%,384,79.50%,99,20.50%,38,92.70%,3,7.30%,516,86.90%,78,13.10%,34,100.00%
North Wales,5,100.00%,0,0.00%,433,83.90%,83,16.10%,35,83.30%,7,16.70%,31,86.10%,5,13.90%,8,100.00%,0,0.00%,227,93.80%,15,6.20%,30,88.20%,4,11.80%,92,89.30%,11,10.70%,98,89.90%,11,10.10%,166,92.20%,14,7.80%,21,91.30%,2,8.70%,361,91.90%,32,8.10%,11,100.00%
North Yorkshire,1,100.00%,0,0.00%,345,82.30%,74,17.70%,12,92.30%,1,7.70%,35,74.50%,12,25.50%,3,33.30%,6,66.70%,270,92.20%,23,7.80%,31,86.10%,5,13.90%,68,88.30%,9,11.70%,91,86.70%,14,13.30%,142,88.80%,18,11.30%,31,81.60%,7,18.40%,360,91.80%,32,8.20%,26,100.00%
Nottinghamshire,3,100.00%,0,0.00%,578,80.10%,144,19.90%,97,72.90%,36,27.10%,48,77.40%,14,22.60%,25,92.60%,2,7.40%,415,94.30%,25,5.70%,38,77.60%,11,22.40%,124,92.50%,10,7.50%,320,92.50%,26,7.50%,239,91.20%,23,8.80%,53,91.40%,5,8.60%,404,91.00%,40,9.00%,53,100.00%
South Wales,11,100.00%,0,0.00%,884,74.40%,304,25.60%,73,70.90%,30,29.10%,71,72.40%,27,27.60%,16,69.60%,7,30.40%,545,93.30%,39,6.70%,97,88.20%,13,11.80%,185,88.10%,25,11.90%,443,94.70%,25,5.30%,331,87.30%,48,12.70%,65,91.50%,6,8.50%,656,81.90%,145,18.10%,33,100.00%
South Yorkshire,5,55.60%,4,44.40%,635,79.50%,164,20.50%,18,75.00%,6,25.00%,81,86.20%,13,13.80%,37,84.10%,7,15.90%,424,93.00%,32,7.00%,35,92.10%,3,7.90%,140,83.80%,27,16.20%,173,92.50%,14,7.50%,210,90.50%,22,9.50%,39,92.90%,3,7.10%,403,86.90%,61,13.10%,47,100.00%
Staffordshire,3,100.00%,0,0.00%,487,78.20%,136,21.80%,60,85.70%,10,14.30%,52,83.90%,10,16.10%,14,82.40%,3,17.60%,406,95.30%,20,4.70%,32,80.00%,8,20.00%,118,90.10%,13,9.90%,156,96.30%,6,3.70%,156,88.10%,21,11.90%,39,84.80%,7,15.20%,429,86.00%,70,14.00%,41,100.00%
Suffolk,4,80.00%,1,20.00%,287,84.40%,53,15.60%,12,80.00%,3,20.00%,13,86.70%,2,13.30%,14,87.50%,2,12.50%,129,96.30%,5,3.70%,24,92.30%,2,7.70%,59,93.70%,4,6.30%,122,98.40%,2,1.60%,85,91.40%,8,8.60%,14,100.00%,0,0.00%,277,93.00%,21,7.00%,14,100.00%
Surrey,1,100.00%,0,0.00%,386,77.70%,111,22.30%,47,77.00%,14,23.00%,34,82.90%,7,17.10%,6,85.70%,1,14.30%,111,91.00%,11,9.00%,46,86.80%,7,13.20%,33,84.60%,6,15.40%,100,94.30%,6,5.70%,62,87.30%,9,12.70%,34,94.40%,2,5.60%,337,92.80%,26,7.20%,54,100.00%
Sussex,2,66.70%,1,33.30%,651,81.40%,149,18.60%,66,76.70%,20,23.30%,46,86.80%,7,13.20%,15,93.80%,1,6.30%,230,94.30%,14,5.70%,44,91.70%,4,8.30%,72,90.00%,8,10.00%,202,94.80%,11,5.20%,138,90.80%,14,9.20%,30,85.70%,5,14.30%,493,86.80%,75,13.20%,42,100.00%
Thames Valley,11,100.00%,0,0.00%,776,79.30%,203,20.70%,94,75.20%,31,24.80%,72,90.00%,8,10.00%,23,79.30%,6,20.70%,483,94.00%,31,6.00%,55,82.10%,12,17.90%,111,89.50%,13,10.50%,290,92.70%,23,7.30%,236,86.80%,36,13.20%,52,96.30%,2,3.70%,757,87.90%,104,12.10%,85,100.00%
Warwickshire,7,87.50%,1,12.50%,159,74.00%,56,26.00%,16,72.70%,6,27.30%,29,96.70%,1,3.30%,7,87.50%,1,12.50%,114,91.20%,11,8.80%,11,84.60%,2,15.40%,27,81.80%,6,18.20%,53,98.10%,1,1.90%,64,91.40%,6,8.60%,9,75.00%,3,25.00%,276,84.40%,51,15.60%,24,100.00%
West Mercia,4,80.00%,1,20.00%,543,80.90%,128,19.10%,48,69.60%,21,30.40%,51,92.70%,4,7.30%,16,72.70%,6,27.30%,371,95.90%,16,4.10%,43,79.60%,11,20.40%,81,88.00%,11,12.00%,126,92.00%,11,8.00%,144,85.20%,25,14.80%,49,94.20%,3,5.80%,603,84.90%,107,15.10%,42,100.00%
West Midlands,18,72.00%,7,28.00%,1737,79.60%,446,20.40%,152,77.20%,45,22.80%,180,85.30%,31,14.70%,78,75.00%,26,25.00%,1308,93.80%,87,6.20%,156,83.90%,30,16.10%,272,90.10%,30,9.90%,692,93.40%,49,6.60%,844,85.90%,138,14.10%,190,83.70%,37,16.30%,902,88.20%,121,11.80%,252,100.00%
West Yorkshire,8,66.70%,4,33.30%,1431,75.00%,478,25.00%,160,68.70%,73,31.30%,148,89.20%,18,10.80%,54,81.80%,12,18.20%,750,91.60%,69,8.40%,66,81.50%,15,18.50%,221,80.10%,55,19.90%,345,93.00%,26,7.00%,355,88.50%,46,11.50%,76,85.40%,13,14.60%,919,87.40%,132,12.60%,135,100.00%
Wiltshire,1,50.00%,1,50.00%,306,90.80%,31,9.20%,21,77.80%,6,22.20%,29,85.30%,5,14.70%,8,100.00%,0,0.00%,222,95.30%,11,4.70%,22,81.50%,5,18.50%,64,97.00%,2,3.00%,89,93.70%,6,6.30%,69,88.50%,9,11.50%,16,84.20%,3,15.80%,238,94.80%,13,5.20%,16,100.00%
