,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Leicestershire,3,60.00%,2,40.00%,485,80.00%,121,20.00%,43,69.40%,19,30.60%,68,80.00%,17,20.00%,24,85.70%,4,14.30%,380,90.00%,42,10.00%,49,77.80%,14,22.20%,88,77.90%,25,22.10%,153,91.10%,15,8.90%,128,80.00%,32,20.00%,19,70.40%,8,29.60%,354,85.30%,61,14.70%,43,100.00%
Lincolnshire,3,100.00%,0,0.00%,413,82.90%,85,17.10%,42,84.00%,8,16.00%,55,90.20%,6,9.80%,5,83.30%,1,16.70%,320,89.40%,38,10.60%,12,100.00%,0,0.00%,90,93.80%,6,6.30%,90,90.00%,10,10.00%,141,79.20%,37,20.80%,18,66.70%,9,33.30%,363,79.10%,96,20.90%,22,100.00%
Merseyside,3,60.00%,2,40.00%,956,80.90%,226,19.10%,79,72.50%,30,27.50%,81,86.20%,13,13.80%,32,74.40%,11,25.60%,595,94.60%,34,5.40%,104,92.90%,8,7.10%,156,83.00%,32,17.00%,504,94.20%,31,5.80%,279,84.80%,50,15.20%,99,77.30%,29,22.70%,596,88.80%,75,11.20%,44,100.00%
Metropolitan and City,61,81.30%,14,18.70%,5290,69.10%,2369,30.90%,447,67.60%,214,32.40%,657,80.30%,161,19.70%,306,78.70%,83,21.30%,3061,84.80%,550,15.20%,780,80.10%,194,19.90%,835,80.80%,198,19.20%,3178,92.00%,277,8.00%,1544,76.80%,467,23.20%,490,81.10%,114,18.90%,3330,75.10%,1104,24.90%,691,100.00%
Norfolk,1,100.00%,0,0.00%,616,79.40%,160,20.60%,25,89.30%,3,10.70%,52,89.70%,6,10.30%,14,82.40%,3,17.60%,330,92.40%,27,7.60%,26,89.70%,3,10.30%,118,77.10%,35,22.90%,203,92.70%,16,7.30%,233,89.60%,27,10.40%,44,95.70%,2,4.30%,321,89.90%,36,10.10%,27,100.00%
Northamptonshire,8,100.00%,0,0.00%,390,73.90%,138,26.10%,28,70.00%,12,30.00%,28,70.00%,12,30.00%,15,93.80%,1,6.30%,264,88.30%,35,11.70%,30,78.90%,8,21.10%,63,71.60%,25,28.40%,117,92.90%,9,7.10%,98,77.20%,29,22.80%,21,84.00%,4,16.00%,327,85.60%,55,14.40%,50,100.00%
Northumbria,10,100.00%,0,0.00%,1024,74.90%,344,25.10%,121,67.60%,58,32.40%,157,89.20%,19,10.80%,31,86.10%,5,13.90%,1238,90.60%,129,9.40%,92,79.30%,24,20.70%,273,80.30%,67,19.70%,305,90.20%,33,9.80%,552,84.00%,105,16.00%,61,83.60%,12,16.40%,649,82.90%,134,17.10%,41,100.00%
North Wales,3,100.00%,0,0.00%,522,84.10%,99,15.90%,57,81.40%,13,18.60%,67,87.00%,10,13.00%,7,87.50%,1,12.50%,424,93.20%,31,6.80%,26,89.70%,3,10.30%,107,87.70%,15,12.30%,122,98.40%,2,1.60%,171,87.70%,24,12.30%,21,84.00%,4,16.00%,286,85.60%,48,14.40%,18,100.00%
North Yorkshire,3,75.00%,1,25.00%,350,83.10%,71,16.90%,21,91.30%,2,8.70%,69,93.20%,5,6.80%,6,85.70%,1,14.30%,327,94.80%,18,5.20%,34,100.00%,0,0.00%,78,83.00%,16,17.00%,132,93.00%,10,7.00%,142,89.30%,17,10.70%,25,83.30%,5,16.70%,317,91.10%,31,8.90%,24,100.00%
Nottinghamshire,12,92.30%,1,7.70%,873,75.00%,291,25.00%,58,84.10%,11,15.90%,122,77.70%,35,22.30%,37,88.10%,5,11.90%,685,89.80%,78,10.20%,58,92.10%,5,7.90%,182,82.70%,38,17.30%,391,92.90%,30,7.10%,276,84.70%,50,15.30%,59,80.80%,14,19.20%,477,90.90%,48,9.10%,49,100.00%
South Wales,8,88.90%,1,11.10%,1114,78.40%,307,21.60%,69,69.70%,30,30.30%,132,89.80%,15,10.20%,41,89.10%,5,10.90%,759,92.80%,59,7.20%,71,94.70%,4,5.30%,161,84.30%,30,15.70%,539,95.20%,27,4.80%,345,84.10%,65,15.90%,44,91.70%,4,8.30%,1479,90.20%,160,9.80%,44,100.00%
South Yorkshire,3,75.00%,1,25.00%,664,76.10%,209,23.90%,21,84.00%,4,16.00%,136,91.30%,13,8.70%,26,72.20%,10,27.80%,799,95.10%,41,4.90%,63,92.60%,5,7.40%,242,83.40%,48,16.60%,284,94.70%,16,5.30%,301,85.80%,50,14.20%,54,93.10%,4,6.90%,530,91.70%,48,8.30%,73,100.00%
Staffordshire,5,71.40%,2,28.60%,612,77.40%,179,22.60%,47,74.60%,16,25.40%,74,86.00%,12,14.00%,5,55.60%,4,44.40%,450,90.90%,45,9.10%,29,93.50%,2,6.50%,122,83.00%,25,17.00%,249,92.20%,21,7.80%,204,88.30%,27,11.70%,40,81.60%,9,18.40%,524,78.70%,142,21.30%,26,100.00%
Suffolk,3,100.00%,0,0.00%,443,84.40%,82,15.60%,26,89.70%,3,10.30%,31,83.80%,6,16.20%,8,100.00%,0,0.00%,221,90.60%,23,9.40%,26,86.70%,4,13.30%,73,90.10%,8,9.90%,135,97.10%,4,2.90%,109,87.90%,15,12.10%,22,100.00%,0,0.00%,242,89.30%,29,10.70%,21,100.00%
Surrey,0,-,0,-,394,76.40%,122,23.60%,38,67.90%,18,32.10%,57,82.60%,12,17.40%,5,83.30%,1,16.70%,197,92.90%,15,7.10%,24,77.40%,7,22.60%,36,76.60%,11,23.40%,148,93.70%,10,6.30%,90,87.40%,13,12.60%,17,89.50%,2,10.50%,356,91.00%,35,9.00%,29,100.00%
Sussex,2,100.00%,0,0.00%,832,80.50%,202,19.50%,85,67.50%,41,32.50%,80,90.90%,8,9.10%,24,92.30%,2,7.70%,540,93.40%,38,6.60%,76,84.40%,14,15.60%,130,84.40%,24,15.60%,253,93.40%,18,6.60%,194,82.90%,40,17.10%,22,81.50%,5,18.50%,605,89.90%,68,10.10%,69,100.00%
Thames Valley,25,92.60%,2,7.40%,1121,74.90%,375,25.10%,124,72.10%,48,27.90%,121,82.90%,25,17.10%,36,60.00%,24,40.00%,687,91.00%,68,9.00%,87,87.90%,12,12.10%,137,82.50%,29,17.50%,411,89.90%,46,10.10%,285,83.80%,55,16.20%,72,81.80%,16,18.20%,665,86.60%,103,13.40%,86,100.00%
Warwickshire,0,0.00%,2,100.00%,212,82.50%,45,17.50%,27,84.40%,5,15.60%,27,84.40%,5,15.60%,15,93.80%,1,6.30%,200,90.10%,22,9.90%,12,70.60%,5,29.40%,30,88.20%,4,11.80%,72,96.00%,3,4.00%,98,84.50%,18,15.50%,22,81.50%,5,18.50%,230,87.80%,32,12.20%,26,100.00%
West Mercia,7,87.50%,1,12.50%,664,80.30%,163,19.70%,87,73.70%,31,26.30%,72,86.70%,11,13.30%,12,80.00%,3,20.00%,403,93.50%,28,6.50%,43,82.70%,9,17.30%,112,88.20%,15,11.80%,164,93.20%,12,6.80%,192,85.70%,32,14.30%,40,93.00%,3,7.00%,480,83.20%,97,16.80%,22,100.00%
West Midlands,20,90.90%,2,9.10%,2255,76.90%,676,23.10%,181,74.20%,63,25.80%,219,80.50%,53,19.50%,128,77.10%,38,22.90%,2076,92.30%,172,7.70%,227,84.10%,43,15.90%,372,87.50%,53,12.50%,696,94.20%,43,5.80%,732,81.20%,170,18.80%,178,84.00%,34,16.00%,1156,81.20%,267,18.80%,169,100.00%
West Yorkshire,10,62.50%,6,37.50%,1577,80.50%,381,19.50%,157,79.30%,41,20.70%,223,87.50%,32,12.50%,64,80.00%,16,20.00%,964,92.80%,75,7.20%,67,77.90%,19,22.10%,328,87.70%,46,12.30%,385,93.00%,29,7.00%,373,85.00%,66,15.00%,87,86.10%,14,13.90%,783,86.80%,119,13.20%,107,100.00%
Wiltshire,4,100.00%,0,0.00%,359,84.30%,67,15.70%,22,81.50%,5,18.50%,29,90.60%,3,9.40%,1,50.00%,1,50.00%,273,90.40%,29,9.60%,19,65.50%,10,34.50%,72,97.30%,2,2.70%,82,96.50%,3,3.50%,109,87.90%,15,12.10%,14,66.70%,7,33.30%,231,93.50%,16,6.50%,17,100.00%
