,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,1,100.00%,0,0.00%,326,76.70%,99,23.30%,26,65.00%,14,35.00%,66,84.60%,12,15.40%,4,100.00%,0,0.00%,389,91.50%,36,8.50%,19,79.20%,5,20.80%,112,80.60%,27,19.40%,69,98.60%,1,1.40%,173,90.60%,18,9.40%,33,73.30%,12,26.70%,282,92.80%,22,7.20%,13,100.00%
Dyfed Powys,2,66.70%,1,33.30%,240,70.40%,101,29.60%,21,63.60%,12,36.40%,17,77.30%,5,22.70%,3,100.00%,0,0.00%,146,89.60%,17,10.40%,13,92.90%,1,7.10%,57,82.60%,12,17.40%,214,94.70%,12,5.30%,104,87.40%,15,12.60%,15,88.20%,2,11.80%,209,79.50%,54,20.50%,19,100.00%
Essex,7,77.80%,2,22.20%,857,72.30%,328,27.70%,100,65.80%,52,34.20%,80,76.20%,25,23.80%,36,69.20%,16,30.80%,570,91.90%,50,8.10%,58,86.60%,9,13.40%,185,88.90%,23,11.10%,227,91.50%,21,8.50%,152,84.90%,27,15.10%,67,72.80%,25,27.20%,714,79.00%,190,21.00%,70,100.00%
Gloucestershire,1,100.00%,0,0.00%,274,76.30%,85,23.70%,13,92.90%,1,7.10%,29,76.30%,9,23.70%,11,100.00%,0,0.00%,237,95.20%,12,4.80%,13,86.70%,2,13.30%,77,85.60%,13,14.40%,77,96.30%,3,3.80%,40,83.30%,8,16.70%,32,78.00%,9,22.00%,192,93.20%,14,6.80%,17,100.00%
GreaterManchester,4,80.00%,1,20.00%,1927,81.00%,453,19.00%,174,68.50%,80,31.50%,216,91.10%,21,8.90%,101,75.90%,32,24.10%,1159,94.20%,71,5.80%,107,85.60%,18,14.40%,463,91.10%,45,8.90%,526,92.40%,43,7.60%,710,87.80%,99,12.20%,298,87.40%,43,12.60%,1271,84.70%,229,15.30%,139,100.00%
Gwent,3,100.00%,0,0.00%,394,79.80%,100,20.20%,20,76.90%,6,23.10%,42,77.80%,12,22.20%,6,66.70%,3,33.30%,277,93.60%,19,6.40%,21,84.00%,4,16.00%,87,82.90%,18,17.10%,152,95.00%,8,5.00%,136,83.40%,27,16.60%,18,69.20%,8,30.80%,211,92.50%,17,7.50%,12,100.00%
Hampshire,8,100.00%,0,0.00%,883,80.40%,215,19.60%,107,65.20%,57,34.80%,130,93.50%,9,6.50%,14,66.70%,7,33.30%,717,91.10%,70,8.90%,65,84.40%,12,15.60%,168,86.20%,27,13.80%,307,93.90%,20,6.10%,292,87.70%,41,12.30%,82,82.80%,17,17.20%,756,86.20%,121,13.80%,47,100.00%
Hertfordshire,2,100.00%,0,0.00%,510,74.70%,173,25.30%,19,76.00%,6,24.00%,67,81.70%,15,18.30%,24,70.60%,10,29.40%,504,89.20%,61,10.80%,42,85.70%,7,14.30%,86,76.80%,26,23.20%,174,95.10%,9,4.90%,133,85.80%,22,14.20%,43,71.70%,17,28.30%,440,83.00%,90,17.00%,71,100.00%
Humberside,3,100.00%,0,0.00%,529,85.20%,92,14.80%,93,68.90%,42,31.10%,86,93.50%,6,6.50%,8,61.50%,5,38.50%,542,95.40%,26,4.60%,31,81.60%,7,18.40%,127,92.70%,10,7.30%,168,95.50%,8,4.50%,226,91.90%,20,8.10%,36,94.70%,2,5.30%,381,85.20%,66,14.80%,24,100.00%
Kent,8,66.70%,4,33.30%,796,76.50%,244,23.50%,88,72.10%,34,27.90%,135,86.50%,21,13.50%,25,67.60%,12,32.40%,782,88.00%,107,12.00%,76,88.40%,10,11.60%,160,83.80%,31,16.20%,337,95.20%,17,4.80%,191,79.90%,48,20.10%,129,76.80%,39,23.20%,615,88.10%,83,11.90%,108,100.00%
Lancashire,10,90.90%,1,9.10%,848,78.80%,228,21.20%,85,71.40%,34,28.60%,170,81.70%,38,18.30%,28,75.70%,9,24.30%,788,94.50%,46,5.50%,52,83.90%,10,16.10%,276,87.10%,41,12.90%,316,94.30%,19,5.70%,366,87.80%,51,12.20%,246,86.90%,37,13.10%,740,83.40%,147,16.60%,50,100.00%
Leicestershire,6,100.00%,0,0.00%,444,79.70%,113,20.30%,43,71.70%,17,28.30%,61,79.20%,16,20.80%,4,57.10%,3,42.90%,355,92.00%,31,8.00%,29,90.60%,3,9.40%,74,79.60%,19,20.40%,97,81.50%,22,18.50%,108,87.10%,16,12.90%,34,82.90%,7,17.10%,374,80.10%,93,19.90%,37,100.00%
Lincolnshire,4,66.70%,2,33.30%,342,78.80%,92,21.20%,34,87.20%,5,12.80%,57,91.90%,5,8.10%,8,72.70%,3,27.30%,387,94.40%,23,5.60%,13,61.90%,8,38.10%,82,88.20%,11,11.80%,106,92.20%,9,7.80%,169,91.80%,15,8.20%,54,73.00%,20,27.00%,408,84.30%,76,15.70%,30,100.00%
Merseyside,7,77.80%,2,22.20%,1017,79.60%,261,20.40%,69,71.90%,27,28.10%,77,88.50%,10,11.50%,28,75.70%,9,24.30%,663,94.60%,38,5.40%,45,76.30%,14,23.70%,192,90.60%,20,9.40%,646,95.30%,32,4.70%,344,84.90%,61,15.10%,96,76.80%,29,23.20%,554,88.60%,71,11.40%,36,100.00%
Metropolitan and City,39,72.20%,15,27.80%,4324,65.00%,2329,35.00%,402,65.20%,215,34.80%,659,80.70%,158,19.30%,301,71.00%,123,29.00%,3217,86.00%,523,14.00%,602,84.00%,115,16.00%,1017,82.80%,212,17.20%,2949,93.10%,217,6.90%,1488,79.10%,392,20.90%,1425,81.60%,322,18.40%,4225,75.30%,1385,24.70%,752,100.00%
Norfolk,0,-,0,-,582,76.10%,183,23.90%,23,92.00%,2,8.00%,53,88.30%,7,11.70%,11,78.60%,3,21.40%,365,95.50%,17,4.50%,19,95.00%,1,5.00%,122,81.90%,27,18.10%,160,95.20%,8,4.80%,256,88.30%,34,11.70%,51,83.60%,10,16.40%,370,88.10%,50,11.90%,23,100.00%
Northamptonshire,1,100.00%,0,0.00%,381,74.30%,132,25.70%,39,70.90%,16,29.10%,35,72.90%,13,27.10%,11,68.80%,5,31.30%,342,87.70%,48,12.30%,21,70.00%,9,30.00%,82,81.20%,19,18.80%,117,96.70%,4,3.30%,92,77.30%,27,22.70%,28,87.50%,4,12.50%,369,83.90%,71,16.10%,40,100.00%
Northumbria,3,75.00%,1,25.00%,961,74.70%,326,25.30%,69,65.70%,36,34.30%,155,84.20%,29,15.80%,28,77.80%,8,22.20%,1304,91.90%,115,8.10%,63,81.80%,14,18.20%,373,82.90%,77,17.10%,288,94.70%,16,5.30%,612,83.00%,125,17.00%,119,81.50%,27,18.50%,758,83.10%,154,16.90%,66,100.00%
North Wales,5,100.00%,0,0.00%,504,78.60%,137,21.40%,37,66.10%,19,33.90%,61,87.10%,9,12.90%,8,72.70%,3,27.30%,432,94.10%,27,5.90%,36,81.80%,8,18.20%,127,85.80%,21,14.20%,137,91.90%,12,8.10%,176,92.10%,15,7.90%,28,90.30%,3,9.70%,341,86.10%,55,13.90%,13,100.00%
North Yorkshire,2,50.00%,2,50.00%,368,84.20%,69,15.80%,27,90.00%,3,10.00%,54,85.70%,9,14.30%,4,50.00%,4,50.00%,405,95.10%,21,4.90%,28,93.30%,2,6.70%,118,88.70%,15,11.30%,150,96.20%,6,3.80%,250,91.20%,24,8.80%,46,95.80%,2,4.20%,379,91.80%,34,8.20%,16,100.00%
Nottinghamshire,8,44.40%,10,55.60%,767,75.60%,247,24.40%,47,79.70%,12,20.30%,84,80.00%,21,20.00%,42,89.40%,5,10.60%,751,89.20%,91,10.80%,60,83.30%,12,16.70%,180,84.50%,33,15.50%,344,94.50%,20,5.50%,249,75.50%,81,24.50%,143,76.10%,45,23.90%,506,87.50%,72,12.50%,53,100.00%
South Wales,5,100.00%,0,0.00%,1141,77.30%,336,22.70%,86,68.30%,40,31.70%,154,84.60%,28,15.40%,31,72.10%,12,27.90%,825,94.10%,52,5.90%,51,87.90%,7,12.10%,187,84.60%,34,15.40%,505,96.00%,21,4.00%,451,85.10%,79,14.90%,46,90.20%,5,9.80%,1943,92.30%,161,7.70%,49,100.00%
South Yorkshire,4,66.70%,2,33.30%,677,75.40%,221,24.60%,23,69.70%,10,30.30%,143,94.10%,9,5.90%,27,84.40%,5,15.60%,887,93.10%,66,6.90%,59,89.40%,7,10.60%,211,83.70%,41,16.30%,312,95.70%,14,4.30%,302,87.80%,42,12.20%,83,86.50%,13,13.50%,486,86.90%,73,13.10%,48,100.00%
Staffordshire,4,80.00%,1,20.00%,575,79.90%,145,20.10%,73,82.00%,16,18.00%,84,80.00%,21,20.00%,13,72.20%,5,27.80%,474,92.40%,39,7.60%,28,80.00%,7,20.00%,151,89.90%,17,10.10%,212,94.20%,13,5.80%,143,84.60%,26,15.40%,133,86.90%,20,13.10%,490,78.10%,137,21.90%,54,100.00%
Suffolk,1,100.00%,0,0.00%,370,79.40%,96,20.60%,21,95.50%,1,4.50%,23,85.20%,4,14.80%,5,100.00%,0,0.00%,244,92.80%,19,7.20%,18,94.70%,1,5.30%,63,82.90%,13,17.10%,121,96.00%,5,4.00%,131,86.80%,20,13.20%,41,87.20%,6,12.80%,257,89.20%,31,10.80%,18,100.00%
Surrey,1,100.00%,0,0.00%,460,73.50%,166,26.50%,29,69.00%,13,31.00%,32,76.20%,10,23.80%,14,100.00%,0,0.00%,246,91.10%,24,8.90%,22,88.00%,3,12.00%,63,85.10%,11,14.90%,141,91.00%,14,9.00%,127,85.20%,22,14.80%,44,83.00%,9,17.00%,415,88.90%,52,11.10%,35,100.00%
Sussex,2,100.00%,0,0.00%,758,76.30%,236,23.70%,96,73.80%,34,26.20%,81,85.30%,14,14.70%,19,73.10%,7,26.90%,595,91.80%,53,8.20%,49,81.70%,11,18.30%,131,89.10%,16,10.90%,267,93.00%,20,7.00%,231,80.80%,55,19.20%,76,82.60%,16,17.40%,647,89.60%,75,10.40%,71,100.00%
Thames Valley,7,87.50%,1,12.50%,1151,76.10%,362,23.90%,136,65.40%,72,34.60%,113,79.00%,30,21.00%,33,63.50%,19,36.50%,935,91.00%,93,9.00%,73,84.90%,13,15.10%,179,84.40%,33,15.60%,460,93.30%,33,6.70%,395,84.00%,75,16.00%,99,72.30%,38,27.70%,811,88.90%,101,11.10%,77,100.00%
Warwickshire,1,100.00%,0,0.00%,222,79.90%,56,20.10%,26,83.90%,5,16.10%,24,96.00%,1,4.00%,7,87.50%,1,12.50%,208,91.20%,20,8.80%,9,69.20%,4,30.80%,52,91.20%,5,8.80%,58,95.10%,3,4.90%,49,83.10%,10,16.90%,44,84.60%,8,15.40%,193,85.80%,32,14.20%,18,100.00%
West Mercia,4,80.00%,1,20.00%,660,81.40%,151,18.60%,75,74.30%,26,25.70%,65,90.30%,7,9.70%,12,92.30%,1,7.70%,509,93.40%,36,6.60%,18,75.00%,6,25.00%,126,88.10%,17,11.90%,171,95.50%,8,4.50%,148,89.70%,17,10.30%,78,84.80%,14,15.20%,504,85.30%,87,14.70%,34,100.00%
West Midlands,8,66.70%,4,33.30%,1842,76.10%,579,23.90%,164,75.60%,53,24.40%,215,83.00%,44,17.00%,129,80.10%,32,19.90%,1846,91.30%,176,8.70%,191,90.10%,21,9.90%,331,81.90%,73,18.10%,609,92.80%,47,7.20%,623,83.80%,120,16.20%,407,88.90%,51,11.10%,1137,81.30%,261,18.70%,200,100.00%
West Yorkshire,14,63.60%,8,36.40%,1348,74.30%,466,25.70%,149,68.30%,69,31.70%,196,82.00%,43,18.00%,64,81.00%,15,19.00%,1023,91.40%,96,8.60%,85,80.20%,21,19.80%,326,87.90%,45,12.10%,360,89.30%,43,10.70%,502,86.00%,82,14.00%,195,88.60%,25,11.40%,951,85.20%,165,14.80%,115,100.00%
Wiltshire,1,100.00%,0,0.00%,320,84.00%,61,16.00%,22,68.80%,10,31.30%,26,83.90%,5,16.10%,8,88.90%,1,11.10%,273,92.50%,22,7.50%,15,75.00%,5,25.00%,72,86.70%,11,13.30%,95,96.00%,4,4.00%,112,84.80%,20,15.20%,13,86.70%,2,13.30%,193,90.60%,20,9.40%,16,100.00%
