,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,1,50.00%,1,50.00%,302,78.90%,81,21.10%,17,94.40%,1,5.60%,35,94.60%,2,5.40%,11,84.60%,2,15.40%,290,94.80%,16,5.20%,33,94.30%,2,5.70%,63,87.50%,9,12.50%,52,100.00%,0,0.00%,89,83.20%,18,16.80%,27,96.40%,1,3.60%,269,93.40%,19,6.60%,20,100.00%
Dyfed Powys,2,66.70%,1,33.30%,233,84.70%,42,15.30%,17,65.40%,9,34.60%,11,91.70%,1,8.30%,5,100.00%,0,0.00%,103,93.60%,7,6.40%,19,76.00%,6,24.00%,52,89.70%,6,10.30%,146,95.40%,7,4.60%,90,93.80%,6,6.30%,16,88.90%,2,11.10%,235,82.70%,49,17.30%,9,100.00%
Essex,12,100.00%,0,0.00%,833,77.30%,245,22.70%,132,72.10%,51,27.90%,74,85.10%,13,14.90%,28,73.70%,10,26.30%,455,87.20%,67,12.80%,61,76.30%,19,23.80%,148,87.10%,22,12.90%,286,95.30%,14,4.70%,172,81.10%,40,18.90%,32,82.10%,7,17.90%,582,84.60%,106,15.40%,74,100.00%
Gloucestershire,1,100.00%,0,0.00%,235,77.80%,67,22.20%,5,71.40%,2,28.60%,34,89.50%,4,10.50%,4,80.00%,1,20.00%,150,94.30%,9,5.70%,23,92.00%,2,8.00%,45,91.80%,4,8.20%,88,93.60%,6,6.40%,73,80.20%,18,19.80%,9,90.00%,1,10.00%,183,93.40%,13,6.60%,26,100.00%
GreaterManchester,10,100.00%,0,0.00%,1706,81.40%,389,18.60%,265,72.20%,102,27.80%,203,91.90%,18,8.10%,53,75.70%,17,24.30%,772,93.60%,53,6.40%,93,86.90%,14,13.10%,278,90.30%,30,9.70%,330,90.20%,36,9.80%,467,90.20%,51,9.80%,127,84.70%,23,15.30%,1003,81.30%,230,18.70%,87,100.00%
Gwent,2,100.00%,0,0.00%,272,83.40%,54,16.60%,19,59.40%,13,40.60%,29,85.30%,5,14.70%,13,92.90%,1,7.10%,233,94.30%,14,5.70%,17,85.00%,3,15.00%,67,77.90%,19,22.10%,120,93.00%,9,7.00%,84,91.30%,8,8.70%,11,73.30%,4,26.70%,250,88.70%,32,11.30%,11,100.00%
Hampshire,8,100.00%,0,0.00%,766,86.70%,118,13.30%,111,83.50%,22,16.50%,79,89.80%,9,10.20%,20,90.90%,2,9.10%,527,94.40%,31,5.60%,71,86.60%,11,13.40%,129,88.40%,17,11.60%,202,93.50%,14,6.50%,235,89.40%,28,10.60%,51,91.10%,5,8.90%,590,92.30%,49,7.70%,47,100.00%
Hertfordshire,2,40.00%,3,60.00%,544,80.80%,129,19.20%,42,91.30%,4,8.70%,55,88.70%,7,11.30%,14,87.50%,2,12.50%,451,91.50%,42,8.50%,78,90.70%,8,9.30%,94,82.50%,20,17.50%,254,95.80%,11,4.20%,124,82.10%,27,17.90%,36,87.80%,5,12.20%,369,82.60%,78,17.40%,36,100.00%
Humberside,3,100.00%,0,0.00%,530,84.80%,95,15.20%,80,67.20%,39,32.80%,77,79.40%,20,20.60%,27,81.80%,6,18.20%,461,95.40%,22,4.60%,28,100.00%,0,0.00%,150,92.60%,12,7.40%,170,94.40%,10,5.60%,221,93.20%,16,6.80%,22,81.50%,5,18.50%,340,85.90%,56,14.10%,29,100.00%
Kent,20,90.90%,2,9.10%,792,79.80%,201,20.20%,62,65.30%,33,34.70%,78,83.00%,16,17.00%,33,91.70%,3,8.30%,448,92.00%,39,8.00%,117,90.70%,12,9.30%,124,87.30%,18,12.70%,277,94.20%,17,5.80%,199,86.10%,32,13.90%,82,82.80%,17,17.20%,491,87.10%,73,12.90%,60,100.00%
Lancashire,8,100.00%,0,0.00%,724,78.40%,199,21.60%,58,93.50%,4,6.50%,140,88.10%,19,11.90%,22,81.50%,5,18.50%,615,93.80%,41,6.30%,74,93.70%,5,6.30%,161,80.10%,40,19.90%,220,90.50%,23,9.50%,319,88.90%,40,11.10%,64,85.30%,11,14.70%,602,82.80%,125,17.20%,24,100.00%
Leicestershire,7,100.00%,0,0.00%,443,81.10%,103,18.90%,72,79.10%,19,20.90%,44,84.60%,8,15.40%,15,100.00%,0,0.00%,325,95.00%,17,5.00%,27,84.40%,5,15.60%,102,83.60%,20,16.40%,84,95.50%,4,4.50%,138,91.40%,13,8.60%,25,67.60%,12,32.40%,333,83.50%,66,16.50%,25,100.00%
Lincolnshire,2,100.00%,0,0.00%,456,81.60%,103,18.40%,12,100.00%,0,0.00%,61,93.80%,4,6.20%,3,42.90%,4,57.10%,277,89.60%,32,10.40%,24,82.80%,5,17.20%,86,84.30%,16,15.70%,93,98.90%,1,1.10%,186,86.50%,29,13.50%,54,71.10%,22,28.90%,408,84.30%,76,15.70%,27,100.00%
Merseyside,2,100.00%,0,0.00%,985,82.20%,213,17.80%,96,87.30%,14,12.70%,68,90.70%,7,9.30%,36,92.30%,3,7.70%,596,94.60%,34,5.40%,62,81.60%,14,18.40%,164,88.20%,22,11.80%,542,93.90%,35,6.10%,295,90.20%,32,9.80%,71,87.70%,10,12.30%,743,90.70%,76,9.30%,36,100.00%
Metropolitan and City,43,70.50%,18,29.50%,5233,67.50%,2517,32.50%,455,67.00%,224,33.00%,591,80.50%,143,19.50%,276,74.60%,94,25.40%,2991,83.20%,603,16.80%,773,83.30%,155,16.70%,749,76.80%,226,23.20%,3259,91.40%,306,8.60%,1529,76.00%,483,24.00%,380,83.30%,76,16.70%,2884,75.90%,916,24.10%,639,100.00%
Norfolk,3,100.00%,0,0.00%,507,82.00%,111,18.00%,46,90.20%,5,9.80%,46,90.20%,5,9.80%,8,100.00%,0,0.00%,352,94.40%,21,5.60%,27,90.00%,3,10.00%,115,88.50%,15,11.50%,177,99.40%,1,0.60%,248,91.90%,22,8.10%,49,79.00%,13,21.00%,323,94.40%,19,5.60%,28,100.00%
Northamptonshire,3,100.00%,0,0.00%,326,77.80%,93,22.20%,19,95.00%,1,5.00%,33,100.00%,0,0.00%,8,66.70%,4,33.30%,209,93.70%,14,6.30%,14,82.40%,3,17.60%,66,86.80%,10,13.20%,78,100.00%,0,0.00%,80,86.00%,13,14.00%,22,57.90%,16,42.10%,295,87.80%,41,12.20%,45,100.00%
Northumbria,8,80.00%,2,20.00%,861,74.40%,297,25.60%,125,68.70%,57,31.30%,166,85.10%,29,14.90%,16,69.60%,7,30.40%,766,89.40%,91,10.60%,74,86.00%,12,14.00%,225,82.40%,48,17.60%,207,91.60%,19,8.40%,428,81.40%,98,18.60%,51,82.30%,11,17.70%,666,84.70%,120,15.30%,47,100.00%
North Wales,1,100.00%,0,0.00%,481,80.70%,115,19.30%,63,85.10%,11,14.90%,50,89.30%,6,10.70%,7,77.80%,2,22.20%,334,93.60%,23,6.40%,40,83.30%,8,16.70%,121,89.00%,15,11.00%,128,95.50%,6,4.50%,169,88.50%,22,11.50%,29,93.50%,2,6.50%,343,87.50%,49,12.50%,18,100.00%
North Yorkshire,3,100.00%,0,0.00%,374,79.20%,98,20.80%,22,88.00%,3,12.00%,52,80.00%,13,20.00%,6,100.00%,0,0.00%,333,91.70%,30,8.30%,26,70.30%,11,29.70%,79,86.80%,12,13.20%,148,94.90%,8,5.10%,186,90.30%,20,9.70%,37,94.90%,2,5.10%,343,92.50%,28,7.50%,26,100.00%
Nottinghamshire,7,87.50%,1,12.50%,703,76.90%,211,23.10%,133,81.10%,31,18.90%,61,76.30%,19,23.80%,33,82.50%,7,17.50%,491,90.90%,49,9.10%,43,78.20%,12,21.80%,149,83.20%,30,16.80%,344,91.20%,33,8.80%,208,82.20%,45,17.80%,33,76.70%,10,23.30%,506,87.40%,73,12.60%,93,100.00%
South Wales,10,83.30%,2,16.70%,1111,73.00%,410,27.00%,88,73.90%,31,26.10%,130,84.40%,24,15.60%,33,80.50%,8,19.50%,695,92.50%,56,7.50%,57,90.50%,6,9.50%,202,85.20%,35,14.80%,494,95.70%,22,4.30%,358,88.80%,45,11.20%,59,84.30%,11,15.70%,741,79.30%,193,20.70%,43,100.00%
South Yorkshire,4,57.10%,3,42.90%,642,77.20%,190,22.80%,26,89.70%,3,10.30%,78,89.70%,9,10.30%,30,85.70%,5,14.30%,724,95.00%,38,5.00%,41,85.40%,7,14.60%,185,87.30%,27,12.70%,280,97.20%,8,2.80%,279,92.70%,22,7.30%,44,91.70%,4,8.30%,547,87.70%,77,12.30%,67,100.00%
Staffordshire,5,55.60%,4,44.40%,694,75.90%,220,24.10%,66,75.00%,22,25.00%,84,92.30%,7,7.70%,25,96.20%,1,3.80%,469,95.10%,24,4.90%,30,96.80%,1,3.20%,145,82.40%,31,17.60%,191,97.40%,5,2.60%,223,84.80%,40,15.20%,51,89.50%,6,10.50%,463,82.50%,98,17.50%,48,100.00%
Suffolk,1,100.00%,0,0.00%,353,84.90%,63,15.10%,17,70.80%,7,29.20%,23,92.00%,2,8.00%,6,75.00%,2,25.00%,205,93.20%,15,6.80%,29,90.60%,3,9.40%,78,95.10%,4,4.90%,105,96.30%,4,3.70%,108,85.00%,19,15.00%,19,95.00%,1,5.00%,271,95.80%,12,4.20%,36,100.00%
Surrey,1,100.00%,0,0.00%,365,76.40%,113,23.60%,64,83.10%,13,16.90%,36,94.70%,2,5.30%,9,90.00%,1,10.00%,124,93.90%,8,6.10%,33,84.60%,6,15.40%,50,89.30%,6,10.70%,125,94.70%,7,5.30%,86,83.50%,17,16.50%,7,100.00%,0,0.00%,336,92.80%,26,7.20%,26,100.00%
Sussex,2,50.00%,2,50.00%,711,79.50%,183,20.50%,74,61.20%,47,38.80%,46,80.70%,11,19.30%,13,54.20%,11,45.80%,426,93.20%,31,6.80%,47,81.00%,11,19.00%,109,82.00%,24,18.00%,287,96.30%,11,3.70%,181,84.20%,34,15.80%,39,79.60%,10,20.40%,560,92.30%,47,7.70%,37,100.00%
Thames Valley,5,71.40%,2,28.60%,1055,74.50%,362,25.50%,136,61.50%,85,38.50%,91,79.10%,24,20.90%,34,77.30%,10,22.70%,670,92.40%,55,7.60%,90,84.10%,17,15.90%,139,79.00%,37,21.00%,364,96.00%,15,4.00%,308,84.40%,57,15.60%,70,89.70%,8,10.30%,788,86.50%,123,13.50%,66,100.00%
Warwickshire,1,100.00%,0,0.00%,223,83.50%,44,16.50%,25,75.80%,8,24.20%,22,88.00%,3,12.00%,8,100.00%,0,0.00%,171,92.90%,13,7.10%,23,76.70%,7,23.30%,37,77.10%,11,22.90%,58,95.10%,3,4.90%,75,88.20%,10,11.80%,15,93.80%,1,6.30%,266,85.00%,47,15.00%,13,100.00%
West Mercia,5,71.40%,2,28.60%,630,80.90%,149,19.10%,81,75.70%,26,24.30%,56,82.40%,12,17.60%,13,81.30%,3,18.80%,520,93.20%,38,6.80%,31,93.90%,2,6.10%,110,82.70%,23,17.30%,229,95.80%,10,4.20%,236,89.40%,28,10.60%,44,95.70%,2,4.30%,598,81.90%,132,18.10%,32,100.00%
West Midlands,14,82.40%,3,17.60%,2040,78.40%,561,21.60%,204,69.20%,91,30.80%,214,84.30%,40,15.70%,119,77.80%,34,22.20%,1763,93.40%,124,6.60%,189,83.30%,38,16.70%,326,88.60%,42,11.40%,705,94.40%,42,5.60%,756,83.40%,151,16.60%,218,88.60%,28,11.40%,1039,82.40%,222,17.60%,227,100.00%
West Yorkshire,10,90.90%,1,9.10%,1386,78.30%,383,21.70%,195,79.30%,51,20.70%,186,87.30%,27,12.70%,48,78.70%,13,21.30%,927,94.40%,55,5.60%,93,81.60%,21,18.40%,266,80.60%,64,19.40%,429,92.50%,35,7.50%,420,87.00%,63,13.00%,119,97.50%,3,2.50%,866,86.40%,136,13.60%,94,100.00%
Wiltshire,1,100.00%,0,0.00%,325,89.30%,39,10.70%,40,88.90%,5,11.10%,30,75.00%,10,25.00%,5,100.00%,0,0.00%,244,94.90%,13,5.10%,26,89.70%,3,10.30%,66,95.70%,3,4.30%,108,93.90%,7,6.10%,132,89.80%,15,10.20%,19,100.00%,0,0.00%,186,90.70%,19,9.30%,8,100.00%
