,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Humberside,2,66.70%,1,33.30%,540,84.80%,97,15.20%,24,66.70%,12,33.30%,97,95.10%,5,4.90%,17,77.30%,5,22.70%,400,94.10%,25,5.90%,49,89.10%,6,10.90%,109,83.20%,22,16.80%,109,94.80%,6,5.20%,164,94.80%,9,5.20%,28,84.80%,5,15.20%,277,87.70%,39,12.30%,40,100.00%
Kent,18,69.20%,8,30.80%,842,80.00%,210,20.00%,85,82.50%,18,17.50%,80,89.90%,9,10.10%,13,86.70%,2,13.30%,433,90.20%,47,9.80%,98,91.60%,9,8.40%,140,84.30%,26,15.70%,245,93.90%,16,6.10%,182,82.70%,38,17.30%,74,89.20%,9,10.80%,494,90.50%,52,9.50%,125,100.00%
Lancashire,7,87.50%,1,12.50%,803,78.40%,221,21.60%,37,90.20%,4,9.80%,113,87.60%,16,12.40%,24,75.00%,8,25.00%,689,95.60%,32,4.40%,61,91.00%,6,9.00%,197,88.70%,25,11.30%,164,94.30%,10,5.70%,324,87.60%,46,12.40%,55,100.00%,0,0.00%,754,84.00%,144,16.00%,52,100.00%
Leicestershire,8,80.00%,2,20.00%,500,79.70%,127,20.30%,76,70.40%,32,29.60%,68,93.20%,5,6.80%,15,93.80%,1,6.30%,270,92.50%,22,7.50%,44,91.70%,4,8.30%,81,83.50%,16,16.50%,126,93.30%,9,6.70%,134,86.50%,21,13.50%,29,85.30%,5,14.70%,314,80.90%,74,19.10%,43,100.00%
Lincolnshire,4,100.00%,0,0.00%,375,86.00%,61,14.00%,15,93.80%,1,6.30%,36,92.30%,3,7.70%,4,50.00%,4,50.00%,334,91.80%,30,8.20%,28,90.30%,3,9.70%,52,83.90%,10,16.10%,122,97.60%,3,2.40%,109,85.80%,18,14.20%,33,86.80%,5,13.20%,397,80.20%,98,19.80%,29,100.00%
Merseyside,6,85.70%,1,14.30%,822,78.40%,226,21.60%,63,79.70%,16,20.30%,55,90.20%,6,9.80%,12,80.00%,3,20.00%,467,94.90%,25,5.10%,61,93.80%,4,6.20%,149,82.80%,31,17.20%,516,94.20%,32,5.80%,256,86.50%,40,13.50%,72,87.80%,10,12.20%,726,83.70%,141,16.30%,53,100.00%
Metropolitan and City,50,64.90%,27,35.10%,3995,70.70%,1652,29.30%,440,66.20%,225,33.80%,499,83.00%,102,17.00%,206,72.50%,78,27.50%,2144,85.90%,352,14.10%,626,85.80%,104,14.20%,556,80.70%,133,19.30%,2657,92.00%,230,8.00%,1241,78.00%,350,22.00%,565,86.50%,88,13.50%,2986,76.80%,902,23.20%,682,100.00%
Norfolk,1,100.00%,0,0.00%,475,86.80%,72,13.20%,41,93.20%,3,6.80%,33,86.80%,5,13.20%,2,50.00%,2,50.00%,325,95.90%,14,4.10%,30,93.80%,2,6.30%,102,89.50%,12,10.50%,178,96.70%,6,3.30%,218,91.20%,21,8.80%,26,89.70%,3,10.30%,388,94.40%,23,5.60%,28,100.00%
Northamptonshire,3,60.00%,2,40.00%,366,84.50%,67,15.50%,18,100.00%,0,0.00%,32,86.50%,5,13.50%,10,71.40%,4,28.60%,155,89.60%,18,10.40%,27,84.40%,5,15.60%,70,92.10%,6,7.90%,79,92.90%,6,7.10%,72,96.00%,3,4.00%,32,88.90%,4,11.10%,275,88.10%,37,11.90%,44,100.00%
Northumbria,5,71.40%,2,28.60%,763,72.10%,295,27.90%,122,67.80%,58,32.20%,127,85.20%,22,14.80%,23,85.20%,4,14.80%,640,91.70%,58,8.30%,76,80.00%,19,20.00%,167,83.90%,32,16.10%,182,91.00%,18,9.00%,431,84.20%,81,15.80%,50,78.10%,14,21.90%,507,84.20%,95,15.80%,49,100.00%
North Wales,10,100.00%,0,0.00%,447,84.50%,82,15.50%,35,72.90%,13,27.10%,37,88.10%,5,11.90%,4,66.70%,2,33.30%,249,97.30%,7,2.70%,20,87.00%,3,13.00%,80,90.90%,8,9.10%,112,99.10%,1,0.90%,142,92.20%,12,7.80%,13,86.70%,2,13.30%,325,90.30%,35,9.70%,29,100.00%
North Yorkshire,1,25.00%,3,75.00%,329,81.00%,77,19.00%,20,87.00%,3,13.00%,48,92.30%,4,7.70%,6,75.00%,2,25.00%,264,92.60%,21,7.40%,22,95.70%,1,4.30%,66,82.50%,14,17.50%,81,94.20%,5,5.80%,112,87.50%,16,12.50%,31,75.60%,10,24.40%,255,88.90%,32,11.10%,28,100.00%
Nottinghamshire,13,92.90%,1,7.10%,667,79.90%,168,20.10%,121,74.20%,42,25.80%,70,87.50%,10,12.50%,32,80.00%,8,20.00%,484,93.80%,32,6.20%,44,83.00%,9,17.00%,109,87.90%,15,12.10%,312,90.20%,34,9.80%,240,89.20%,29,10.80%,67,83.80%,13,16.30%,435,93.50%,30,6.50%,67,100.00%
South Wales,8,100.00%,0,0.00%,922,75.50%,300,24.50%,90,81.10%,21,18.90%,96,88.10%,13,11.90%,17,63.00%,10,37.00%,675,93.90%,44,6.10%,54,88.50%,7,11.50%,172,89.60%,20,10.40%,381,95.00%,20,5.00%,352,90.00%,39,10.00%,61,91.00%,6,9.00%,619,89.60%,72,10.40%,36,100.00%
South Yorkshire,4,80.00%,1,20.00%,705,78.90%,188,21.10%,32,82.10%,7,17.90%,121,87.70%,17,12.30%,30,78.90%,8,21.10%,522,94.10%,33,5.90%,43,91.50%,4,8.50%,151,83.90%,29,16.10%,221,95.30%,11,4.70%,233,89.30%,28,10.70%,50,96.20%,2,3.80%,407,86.80%,62,13.20%,68,100.00%
Staffordshire,9,100.00%,0,0.00%,538,78.90%,144,21.10%,72,83.70%,14,16.30%,51,91.10%,5,8.90%,9,56.30%,7,43.80%,372,93.00%,28,7.00%,25,83.30%,5,16.70%,112,81.80%,25,18.20%,183,94.30%,11,5.70%,163,91.10%,16,8.90%,57,93.40%,4,6.60%,393,86.80%,60,13.20%,52,100.00%
Suffolk,0,-,0,-,323,85.90%,53,14.10%,28,90.30%,3,9.70%,21,100.00%,0,0.00%,4,100.00%,0,0.00%,152,94.40%,9,5.60%,10,76.90%,3,23.10%,51,96.20%,2,3.80%,129,94.90%,7,5.10%,98,93.30%,7,6.70%,23,92.00%,2,8.00%,306,92.20%,26,7.80%,15,100.00%
Surrey,0,-,0,-,384,79.20%,101,20.80%,42,77.80%,12,22.20%,26,86.70%,4,13.30%,6,100.00%,0,0.00%,171,94.00%,11,6.00%,39,79.60%,10,20.40%,51,89.50%,6,10.50%,109,96.50%,4,3.50%,75,90.40%,8,9.60%,19,86.40%,3,13.60%,344,90.30%,37,9.70%,57,100.00%
Sussex,1,100.00%,0,0.00%,683,80.10%,170,19.90%,66,64.70%,36,35.30%,67,90.50%,7,9.50%,19,82.60%,4,17.40%,327,92.60%,26,7.40%,56,82.40%,12,17.60%,99,86.10%,16,13.90%,180,93.30%,13,6.70%,131,89.70%,15,10.30%,30,93.80%,2,6.30%,527,89.20%,64,10.80%,58,100.00%
Thames Valley,5,62.50%,3,37.50%,916,81.00%,215,19.00%,146,75.60%,47,24.40%,128,88.30%,17,11.70%,28,68.30%,13,31.70%,578,92.00%,50,8.00%,85,84.20%,16,15.80%,143,83.60%,28,16.40%,343,94.80%,19,5.20%,277,85.80%,46,14.20%,57,90.50%,6,9.50%,799,87.40%,115,12.60%,53,100.00%
Warwickshire,3,75.00%,1,25.00%,180,78.60%,49,21.40%,17,60.70%,11,39.30%,22,91.70%,2,8.30%,10,90.90%,1,9.10%,141,94.00%,9,6.00%,19,100.00%,0,0.00%,29,96.70%,1,3.30%,27,93.10%,2,6.90%,54,85.70%,9,14.30%,7,63.60%,4,36.40%,186,84.90%,33,15.10%,32,100.00%
West Mercia,1,33.30%,2,66.70%,576,79.90%,145,20.10%,51,69.90%,22,30.10%,43,84.30%,8,15.70%,9,56.30%,7,43.80%,370,94.40%,22,5.60%,47,92.20%,4,7.80%,74,88.10%,10,11.90%,130,96.30%,5,3.70%,185,92.00%,16,8.00%,27,90.00%,3,10.00%,504,88.60%,65,11.40%,43,100.00%
West Midlands,23,95.80%,1,4.20%,1781,81.00%,418,19.00%,165,71.70%,65,28.30%,178,90.40%,19,9.60%,125,85.00%,22,15.00%,1341,92.80%,104,7.20%,173,87.80%,24,12.20%,246,82.80%,51,17.20%,676,94.00%,43,6.00%,658,85.80%,109,14.20%,150,87.70%,21,12.30%,823,89.30%,99,10.70%,183,100.00%
West Yorkshire,17,89.50%,2,10.50%,1274,80.70%,304,19.30%,196,74.00%,69,26.00%,157,92.40%,13,7.60%,61,84.70%,11,15.30%,740,93.60%,51,6.40%,93,85.30%,16,14.70%,242,87.70%,34,12.30%,360,94.50%,21,5.50%,385,89.50%,45,10.50%,110,88.00%,15,12.00%,701,89.30%,84,10.70%,90,100.00%
Wiltshire,4,80.00%,1,20.00%,285,86.90%,43,13.10%,16,72.70%,6,27.30%,30,93.80%,2,6.30%,2,100.00%,0,0.00%,217,93.90%,14,6.10%,26,89.70%,3,10.30%,47,85.50%,8,14.50%,69,98.60%,1,1.40%,68,88.30%,9,11.70%,8,72.70%,3,27.30%,221,93.20%,16,6.80%,18,100.00%
