,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
South Yorkshire,14,100.0%,0,0.0%,631,76.6%,193,23.4%,44,86.3%,7,13.7%,100,92.6%,8,7.4%,26,83.9%,5,16.1%,412,94.1%,26,5.9%,28,80.0%,7,20.0%,143,80.8%,34,19.2%,229,92.3%,19,7.7%,237,88.4%,31,11.6%,33,86.8%,5,13.2%,420,87.3%,61,12.7%,58,100.0%
Staffordshire,4,80.0%,1,20.0%,473,83.3%,95,16.7%,55,78.6%,15,21.4%,63,87.5%,9,12.5%,13,92.9%,1,7.1%,346,95.1%,18,4.9%,30,83.3%,6,16.7%,92,82.1%,20,17.9%,208,93.7%,14,6.3%,171,84.2%,32,15.8%,36,97.3%,1,2.7%,421,84.7%,76,15.3%,44,100.0%
Suffolk,2,100.0%,0,0.0%,293,82.5%,62,17.5%,17,81.0%,4,19.0%,31,91.2%,3,8.8%,9,100.0%,0,0.0%,151,93.8%,10,6.2%,15,71.4%,6,28.6%,56,84.8%,10,15.2%,102,97.1%,3,2.9%,85,89.5%,10,10.5%,21,100.0%,0,0.0%,272,90.4%,29,9.6%,22,100.0%
Surrey,1,100.0%,0,0.0%,320,78.4%,88,21.6%,39,76.5%,12,23.5%,35,81.4%,8,18.6%,11,91.7%,1,8.3%,127,92.7%,10,7.3%,29,87.9%,4,12.1%,32,82.1%,7,17.9%,125,90.6%,13,9.4%,59,69.4%,26,30.6%,25,89.3%,3,10.7%,395,92.9%,30,7.1%,51,100.0%
Sussex,5,62.5%,3,37.5%,505,78.2%,141,21.8%,53,81.5%,12,18.5%,51,87.9%,7,12.1%,9,75.0%,3,25.0%,284,93.7%,19,6.3%,33,89.2%,4,10.8%,73,92.4%,6,7.6%,218,95.2%,11,4.8%,124,83.8%,24,16.2%,27,93.1%,2,6.9%,556,90.8%,56,9.2%,43,100.0%
Thames Valley,12,92.3%,1,7.7%,757,79.0%,201,21.0%,108,82.4%,23,17.6%,81,87.1%,12,12.9%,23,67.6%,11,32.4%,443,91.0%,44,9.0%,70,88.6%,9,11.4%,107,90.7%,11,9.3%,297,96.7%,10,3.3%,235,88.7%,30,11.3%,85,90.4%,9,9.6%,790,90.1%,87,9.9%,72,100.0%
Warwickshire,8,88.9%,1,11.1%,168,82.8%,35,17.2%,15,75.0%,5,25.0%,16,94.1%,1,5.9%,8,100.0%,0,0.0%,71,91.0%,7,9.0%,12,100.0%,0,0.0%,31,81.6%,7,18.4%,50,98.0%,1,2.0%,48,78.7%,13,21.3%,7,77.8%,2,22.2%,205,79.8%,52,20.2%,23,100.0%
West Mercia,5,100.0%,0,0.0%,490,83.1%,100,16.9%,45,88.2%,6,11.8%,58,86.6%,9,13.4%,9,81.8%,2,18.2%,329,94.0%,21,6.0%,40,80.0%,10,20.0%,69,90.8%,7,9.2%,136,95.8%,6,4.2%,155,90.1%,17,9.9%,39,97.5%,1,2.5%,582,90.4%,62,9.6%,43,100.0%
West Midlands,21,75.0%,7,25.0%,1801,82.3%,387,17.7%,146,78.9%,39,21.1%,187,84.6%,34,15.4%,107,79.3%,28,20.7%,1225,90.6%,127,9.4%,171,86.8%,26,13.2%,252,83.4%,50,16.6%,759,93.7%,51,6.3%,755,83.8%,146,16.2%,154,81.5%,35,18.5%,894,92.0%,78,8.0%,238,100.0%
West Yorkshire,10,90.9%,1,9.1%,1231,78.5%,338,21.5%,170,81.7%,38,18.3%,173,92.5%,14,7.5%,41,70.7%,17,29.3%,691,90.4%,73,9.6%,77,91.7%,7,8.3%,204,81.3%,47,18.7%,398,91.9%,35,8.1%,356,84.6%,65,15.4%,63,75.0%,21,25.0%,1209,75.5%,392,24.5%,153,100.0%
Wiltshire,1,100.0%,0,0.0%,266,81.8%,59,18.2%,24,92.3%,2,7.7%,23,95.8%,1,4.2%,9,100.0%,0,0.0%,228,95.8%,10,4.2%,29,78.4%,8,21.6%,58,95.1%,3,4.9%,91,96.8%,3,3.2%,68,90.7%,7,9.3%,13,72.2%,5,27.8%,232,92.4%,19,7.6%,19,100.0%
