,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Lancashire,5,83.30%,1,16.70%,787,78.80%,212,21.20%,56,86.20%,9,13.80%,125,92.60%,10,7.40%,30,83.30%,6,16.70%,655,93.70%,44,6.30%,66,80.50%,16,19.50%,180,89.10%,22,10.90%,224,95.70%,10,4.30%,360,90.50%,38,9.50%,66,90.40%,7,9.60%,764,83.20%,154,16.80%,39,100.00%
Leicestershire,3,75.00%,1,25.00%,563,87.30%,82,12.70%,74,70.50%,31,29.50%,71,87.70%,10,12.30%,21,95.50%,1,4.50%,206,90.70%,21,9.30%,42,82.40%,9,17.60%,93,90.30%,10,9.70%,105,92.10%,9,7.90%,146,89.60%,17,10.40%,29,87.90%,4,12.10%,320,80.60%,77,19.40%,32,100.00%
Lincolnshire,4,80.00%,1,20.00%,378,81.30%,87,18.70%,18,100.00%,0,0.00%,50,87.70%,7,12.30%,4,57.10%,3,42.90%,287,90.80%,29,9.20%,31,86.10%,5,13.90%,85,91.40%,8,8.60%,108,90.80%,11,9.20%,137,85.10%,24,14.90%,33,84.60%,6,15.40%,361,77.60%,104,22.40%,27,100.00%
Merseyside,7,87.50%,1,12.50%,932,82.60%,196,17.40%,108,78.30%,30,21.70%,52,91.20%,5,8.80%,25,100.00%,0,0.00%,510,94.10%,32,5.90%,52,86.70%,8,13.30%,140,90.90%,14,9.10%,500,95.60%,23,4.40%,272,91.00%,27,9.00%,45,80.40%,11,19.60%,727,85.90%,119,14.10%,51,100.00%
Metropolitan and City,36,73.50%,13,26.50%,4430,70.80%,1831,29.20%,422,69.30%,187,30.70%,513,78.90%,137,21.10%,242,78.30%,67,21.70%,2085,83.60%,410,16.40%,588,84.00%,112,16.00%,649,81.00%,152,19.00%,2743,91.20%,265,8.80%,1330,76.70%,404,23.30%,545,86.10%,88,13.90%,2739,76.30%,852,23.70%,624,100.00%
Norfolk,1,100.00%,0,0.00%,496,84.20%,93,15.80%,23,88.50%,3,11.50%,35,92.10%,3,7.90%,14,93.30%,1,6.70%,302,94.10%,19,5.90%,45,93.80%,3,6.30%,103,91.20%,10,8.80%,155,98.10%,3,1.90%,263,92.90%,20,7.10%,23,79.30%,6,20.70%,367,92.70%,29,7.30%,28,100.00%
Northamptonshire,5,100.00%,0,0.00%,329,76.50%,101,23.50%,20,87.00%,3,13.00%,32,88.90%,4,11.10%,11,84.60%,2,15.40%,162,91.50%,15,8.50%,23,85.20%,4,14.80%,52,91.20%,5,8.80%,67,94.40%,4,5.60%,73,90.10%,8,9.90%,28,93.30%,2,6.70%,271,89.40%,32,10.60%,35,100.00%
Northumbria,7,100.00%,0,0.00%,745,75.60%,240,24.40%,153,76.50%,47,23.50%,141,81.50%,32,18.50%,26,72.20%,10,27.80%,799,92.50%,65,7.50%,72,81.80%,16,18.20%,190,90.00%,21,10.00%,200,88.50%,26,11.50%,418,82.10%,91,17.90%,53,89.80%,6,10.20%,615,84.90%,109,15.10%,60,100.00%
North Wales,8,72.70%,3,27.30%,490,85.10%,86,14.90%,36,78.30%,10,21.70%,50,92.60%,4,7.40%,10,76.90%,3,23.10%,288,93.80%,19,6.20%,22,91.70%,2,8.30%,75,91.50%,7,8.50%,134,95.70%,6,4.30%,191,94.10%,12,5.90%,17,85.00%,3,15.00%,379,91.80%,34,8.20%,11,100.00%
North Yorkshire,6,85.70%,1,14.30%,364,82.40%,78,17.60%,22,88.00%,3,12.00%,57,91.90%,5,8.10%,1,33.30%,2,66.70%,314,93.70%,21,6.30%,28,77.80%,8,22.20%,73,89.00%,9,11.00%,86,91.50%,8,8.50%,168,84.80%,30,15.20%,31,79.50%,8,20.50%,337,89.60%,39,10.40%,60,100.00%
Nottinghamshire,6,100.00%,0,0.00%,722,78.90%,193,21.10%,117,77.50%,34,22.50%,63,84.00%,12,16.00%,28,80.00%,7,20.00%,511,93.80%,34,6.20%,52,89.70%,6,10.30%,143,88.30%,19,11.70%,291,90.40%,31,9.60%,270,84.10%,51,15.90%,48,88.90%,6,11.10%,432,89.80%,49,10.20%,47,100.00%
South Wales,6,85.70%,1,14.30%,1066,75.00%,355,25.00%,102,78.50%,28,21.50%,107,83.60%,21,16.40%,27,75.00%,9,25.00%,759,93.00%,57,7.00%,62,87.30%,9,12.70%,198,90.00%,22,10.00%,418,95.00%,22,5.00%,411,85.10%,72,14.90%,60,84.50%,11,15.50%,654,77.80%,187,22.20%,43,100.00%
South Yorkshire,7,70.00%,3,30.00%,701,77.00%,209,23.00%,36,85.70%,6,14.30%,132,90.40%,14,9.60%,43,82.70%,9,17.30%,552,89.90%,62,10.10%,58,89.20%,7,10.80%,168,88.40%,22,11.60%,204,95.80%,9,4.20%,250,90.60%,26,9.40%,41,87.20%,6,12.80%,481,89.10%,59,10.90%,96,100.00%
Staffordshire,4,80.00%,1,20.00%,589,79.80%,149,20.20%,54,63.50%,31,36.50%,78,88.60%,10,11.40%,20,90.90%,2,9.10%,381,92.90%,29,7.10%,58,86.60%,9,13.40%,106,87.60%,15,12.40%,198,96.10%,8,3.90%,162,87.60%,23,12.40%,42,91.30%,4,8.70%,404,85.40%,69,14.60%,58,100.00%
Suffolk,3,100.00%,0,0.00%,320,86.30%,51,13.70%,23,92.00%,2,8.00%,28,93.30%,2,6.70%,10,90.90%,1,9.10%,142,94.70%,8,5.30%,24,88.90%,3,11.10%,70,93.30%,5,6.70%,135,93.10%,10,6.90%,99,92.50%,8,7.50%,11,84.60%,2,15.40%,231,93.50%,16,6.50%,12,100.00%
Surrey,3,100.00%,0,0.00%,371,77.90%,105,22.10%,57,80.30%,14,19.70%,51,94.40%,3,5.60%,4,100.00%,0,0.00%,175,92.10%,15,7.90%,50,92.60%,4,7.40%,62,89.90%,7,10.10%,109,94.80%,6,5.20%,71,87.70%,10,12.30%,30,96.80%,1,3.20%,321,90.90%,32,9.10%,26,100.00%
Sussex,0,-,0,-,722,79.30%,188,20.70%,78,71.60%,31,28.40%,50,89.30%,6,10.70%,14,77.80%,4,22.20%,271,92.50%,22,7.50%,45,90.00%,5,10.00%,80,86.00%,13,14.00%,207,95.00%,11,5.00%,166,83.40%,33,16.60%,38,88.40%,5,11.60%,577,89.00%,71,11.00%,29,100.00%
Thames Valley,9,81.80%,2,18.20%,964,75.40%,314,24.60%,108,76.10%,34,23.90%,132,88.00%,18,12.00%,27,60.00%,18,40.00%,649,92.30%,54,7.70%,117,91.40%,11,8.60%,181,88.30%,24,11.70%,343,93.50%,24,6.50%,249,84.10%,47,15.90%,88,88.00%,12,12.00%,937,89.50%,110,10.50%,94,100.00%
Warwickshire,0,-,0,-,213,82.20%,46,17.80%,27,64.30%,15,35.70%,40,93.00%,3,7.00%,8,100.00%,0,0.00%,148,86.50%,23,13.50%,30,93.80%,2,6.30%,33,82.50%,7,17.50%,61,92.40%,5,7.60%,65,81.30%,15,18.80%,10,100.00%,0,0.00%,205,74.50%,70,25.50%,26,100.00%
West Mercia,9,100.00%,0,0.00%,625,78.90%,167,21.10%,57,66.30%,29,33.70%,52,85.20%,9,14.80%,8,72.70%,3,27.30%,388,92.60%,31,7.40%,50,90.90%,5,9.10%,119,89.50%,14,10.50%,185,96.90%,6,3.10%,211,87.20%,31,12.80%,46,85.20%,8,14.80%,607,88.10%,82,11.90%,30,100.00%
West Midlands,30,81.10%,7,18.90%,1960,80.10%,488,19.90%,211,74.60%,72,25.40%,179,82.50%,38,17.50%,104,77.60%,30,22.40%,1372,92.50%,112,7.50%,167,82.30%,36,17.70%,276,87.10%,41,12.90%,626,92.60%,50,7.40%,703,84.90%,125,15.10%,190,84.10%,36,15.90%,889,83.60%,175,16.40%,242,100.00%
West Yorkshire,21,87.50%,3,12.50%,1431,82.50%,303,17.50%,189,70.30%,80,29.70%,185,89.80%,21,10.20%,63,92.60%,5,7.40%,723,92.80%,56,7.20%,91,86.70%,14,13.30%,244,86.50%,38,13.50%,405,93.10%,30,6.90%,392,87.30%,57,12.70%,92,84.40%,17,15.60%,772,88.70%,98,11.30%,154,100.00%
Wiltshire,0,-,0,-,290,88.10%,39,11.90%,28,87.50%,4,12.50%,26,89.70%,3,10.30%,8,80.00%,2,20.00%,203,95.30%,10,4.70%,23,95.80%,1,4.20%,56,96.60%,2,3.40%,83,97.60%,2,2.40%,78,89.70%,9,10.30%,24,96.00%,1,4.00%,198,95.20%,10,4.80%,13,100.00%
