,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,2,100.00%,0,0.00%,375,82.60%,79,17.40%,11,91.70%,1,8.30%,53,88.30%,7,11.70%,1,25.00%,3,75.00%,354,93.20%,26,6.80%,25,89.30%,3,10.70%,69,86.30%,11,13.80%,53,100.00%,0,0.00%,74,73.30%,27,26.70%,23,92.00%,2,8.00%,261,90.60%,27,9.40%,13,100.00%
Dyfed Powys,1,100.00%,0,0.00%,236,85.80%,39,14.20%,19,82.60%,4,17.40%,26,89.70%,3,10.30%,1,100.00%,0,0.00%,106,94.60%,6,5.40%,16,94.10%,1,5.90%,52,89.70%,6,10.30%,117,95.10%,6,4.90%,58,81.70%,13,18.30%,18,94.70%,1,5.30%,218,90.50%,23,9.50%,4,100.00%
Essex,12,92.30%,1,7.70%,774,78.30%,214,21.70%,140,71.80%,55,28.20%,86,78.90%,23,21.10%,17,58.60%,12,41.40%,491,93.20%,36,6.80%,66,79.50%,17,20.50%,145,88.40%,19,11.60%,323,93.60%,22,6.40%,158,89.80%,18,10.20%,27,77.10%,8,22.90%,645,90.00%,72,10.00%,40,100.00%
Gloucestershire,3,100.00%,0,0.00%,218,82.90%,45,17.10%,13,100.00%,0,0.00%,41,83.70%,8,16.30%,11,91.70%,1,8.30%,237,97.90%,5,2.10%,28,96.60%,1,3.40%,46,83.60%,9,16.40%,92,96.80%,3,3.20%,46,83.60%,9,16.40%,9,90.00%,1,10.00%,222,94.90%,12,5.10%,18,100.00%
GreaterManchester,13,86.70%,2,13.30%,1770,82.70%,371,17.30%,263,72.70%,99,27.30%,181,92.80%,14,7.20%,75,82.40%,16,17.60%,707,95.20%,36,4.80%,139,89.10%,17,10.90%,236,91.10%,23,8.90%,340,94.70%,19,5.30%,477,90.70%,49,9.30%,146,94.80%,8,5.20%,1071,84.70%,194,15.30%,65,100.00%
Gwent,1,50.00%,1,50.00%,297,77.70%,85,22.30%,32,82.10%,7,17.90%,31,79.50%,8,20.50%,12,60.00%,8,40.00%,286,92.90%,22,7.10%,16,88.90%,2,11.10%,77,88.50%,10,11.50%,136,90.10%,15,9.90%,79,89.80%,9,10.20%,17,85.00%,3,15.00%,259,86.60%,40,13.40%,16,100.00%
Hampshire,6,75.00%,2,25.00%,830,85.30%,143,14.70%,93,83.80%,18,16.20%,91,93.80%,6,6.20%,10,90.90%,1,9.10%,638,95.40%,31,4.60%,51,87.90%,7,12.10%,171,93.40%,12,6.60%,225,93.80%,15,6.30%,196,90.70%,20,9.30%,39,86.70%,6,13.30%,628,91.40%,59,8.60%,42,100.00%
Hertfordshire,4,80.00%,1,20.00%,610,78.50%,167,21.50%,41,87.20%,6,12.80%,51,87.90%,7,12.10%,18,81.80%,4,18.20%,593,92.90%,45,7.10%,74,84.10%,14,15.90%,71,78.00%,20,22.00%,252,96.90%,8,3.10%,144,79.10%,38,20.90%,32,86.50%,5,13.50%,444,79.70%,113,20.30%,45,100.00%
Humberside,2,100.00%,0,0.00%,655,85.00%,116,15.00%,65,62.50%,39,37.50%,76,85.40%,13,14.60%,19,76.00%,6,24.00%,498,96.30%,19,3.70%,28,84.80%,5,15.20%,145,94.80%,8,5.20%,182,96.80%,6,3.20%,218,92.40%,18,7.60%,34,91.90%,3,8.10%,352,89.80%,40,10.20%,16,100.00%
Kent,17,89.50%,2,10.50%,908,75.30%,298,24.70%,71,78.00%,20,22.00%,102,92.70%,8,7.30%,18,72.00%,7,28.00%,519,91.50%,48,8.50%,93,92.10%,8,7.90%,193,92.30%,16,7.70%,272,94.10%,17,5.90%,218,86.90%,33,13.10%,77,91.70%,7,8.30%,552,92.60%,44,7.40%,67,100.00%
Lancashire,5,71.40%,2,28.60%,761,80.20%,188,19.80%,70,90.90%,7,9.10%,134,91.80%,12,8.20%,42,95.50%,2,4.50%,760,93.10%,56,6.90%,55,90.20%,6,9.80%,173,87.80%,24,12.20%,194,95.60%,9,4.40%,281,89.50%,33,10.50%,74,87.10%,11,12.90%,749,86.40%,118,13.60%,39,100.00%
Leicestershire,9,90.00%,1,10.00%,501,80.90%,118,19.10%,80,74.80%,27,25.20%,70,88.60%,9,11.40%,15,60.00%,10,40.00%,292,95.70%,13,4.30%,47,88.70%,6,11.30%,79,80.60%,19,19.40%,106,90.60%,11,9.40%,117,83.00%,24,17.00%,41,93.20%,3,6.80%,320,83.60%,63,16.40%,46,100.00%
Lincolnshire,6,100.00%,0,0.00%,393,83.80%,76,16.20%,10,90.90%,1,9.10%,45,88.20%,6,11.80%,5,100.00%,0,0.00%,305,92.40%,25,7.60%,31,93.90%,2,6.10%,97,94.20%,6,5.80%,110,93.20%,8,6.80%,155,88.10%,21,11.90%,24,85.70%,4,14.30%,398,79.90%,100,20.10%,49,100.00%
Merseyside,6,54.50%,5,45.50%,968,82.20%,210,17.80%,88,71.00%,36,29.00%,88,88.00%,12,12.00%,27,90.00%,3,10.00%,681,95.00%,36,5.00%,76,85.40%,13,14.60%,188,89.10%,23,10.90%,602,95.60%,28,4.40%,279,87.50%,40,12.50%,54,88.50%,7,11.50%,809,84.60%,147,15.40%,40,100.00%
Metropolitan and City,55,65.50%,29,34.50%,5236,70.70%,2169,29.30%,466,71.10%,189,28.90%,583,81.20%,135,18.80%,293,75.90%,93,24.10%,2995,85.50%,507,14.50%,796,85.20%,138,14.80%,750,78.50%,206,21.50%,3173,91.70%,287,8.30%,1432,73.40%,518,26.60%,350,80.60%,84,19.40%,3062,86.30%,488,13.70%,819,100.00%
Norfolk,0,0.00%,1,100.00%,568,87.40%,82,12.60%,40,87.00%,6,13.00%,47,94.00%,3,6.00%,13,92.90%,1,7.10%,474,94.40%,28,5.60%,38,97.40%,1,2.60%,126,86.90%,19,13.10%,188,97.90%,4,2.10%,262,93.20%,19,6.80%,42,97.70%,1,2.30%,345,95.30%,17,4.70%,24,100.00%
Northamptonshire,3,75.00%,1,25.00%,366,82.10%,80,17.90%,20,83.30%,4,16.70%,33,89.20%,4,10.80%,16,64.00%,9,36.00%,222,94.90%,12,5.10%,35,92.10%,3,7.90%,65,84.40%,12,15.60%,89,92.70%,7,7.30%,91,89.20%,11,10.80%,23,100.00%,0,0.00%,305,86.90%,46,13.10%,41,100.00%
Northumbria,7,70.00%,3,30.00%,818,71.80%,322,28.20%,127,69.40%,56,30.60%,135,86.50%,21,13.50%,20,76.90%,6,23.10%,1012,92.60%,81,7.40%,67,87.00%,10,13.00%,173,80.80%,41,19.20%,200,93.00%,15,7.00%,457,86.40%,72,13.60%,49,87.50%,7,12.50%,681,83.90%,131,16.10%,44,100.00%
North Wales,1,100.00%,0,0.00%,444,81.20%,103,18.80%,56,82.40%,12,17.60%,54,90.00%,6,10.00%,4,66.70%,2,33.30%,326,96.40%,12,3.60%,23,88.50%,3,11.50%,93,83.80%,18,16.20%,102,98.10%,2,1.90%,180,91.80%,16,8.20%,28,87.50%,4,12.50%,342,90.70%,35,9.30%,17,100.00%
North Yorkshire,3,100.00%,0,0.00%,407,81.70%,91,18.30%,27,84.40%,5,15.60%,42,71.20%,17,28.80%,10,76.90%,3,23.10%,315,90.30%,34,9.70%,44,88.00%,6,12.00%,93,90.30%,10,9.70%,130,95.60%,6,4.40%,154,86.50%,24,13.50%,50,92.60%,4,7.40%,333,90.00%,37,10.00%,18,100.00%
Nottinghamshire,4,66.70%,2,33.30%,778,79.50%,201,20.50%,125,74.90%,42,25.10%,92,89.30%,11,10.70%,23,76.70%,7,23.30%,562,91.80%,50,8.20%,61,91.00%,6,9.00%,140,78.20%,39,21.80%,338,92.60%,27,7.40%,240,87.90%,33,12.10%,62,87.30%,9,12.70%,457,89.30%,55,10.70%,84,100.00%
South Wales,6,66.70%,3,33.30%,1047,74.90%,351,25.10%,96,72.70%,36,27.30%,107,86.30%,17,13.70%,27,79.40%,7,20.60%,804,94.60%,46,5.40%,64,81.00%,15,19.00%,190,84.80%,34,15.20%,482,97.20%,14,2.80%,332,88.30%,44,11.70%,52,88.10%,7,11.90%,709,82.80%,147,17.20%,47,100.00%
South Yorkshire,6,66.70%,3,33.30%,665,77.60%,192,22.40%,39,86.70%,6,13.30%,101,85.60%,17,14.40%,22,66.70%,11,33.30%,758,95.70%,34,4.30%,33,91.70%,3,8.30%,170,85.00%,30,15.00%,215,95.60%,10,4.40%,274,91.90%,24,8.10%,50,79.40%,13,20.60%,519,90.90%,52,9.10%,52,100.00%
Staffordshire,1,100.00%,0,0.00%,648,79.00%,172,21.00%,79,79.00%,21,21.00%,92,87.60%,13,12.40%,12,100.00%,0,0.00%,497,91.00%,49,9.00%,29,67.40%,14,32.60%,131,86.20%,21,13.80%,251,95.80%,11,4.20%,182,85.80%,30,14.20%,60,100.00%,0,0.00%,480,87.40%,69,12.60%,37,100.00%
Suffolk,1,100.00%,0,0.00%,346,84.00%,66,16.00%,20,90.90%,2,9.10%,28,93.30%,2,6.70%,11,91.70%,1,8.30%,193,97.50%,5,2.50%,34,87.20%,5,12.80%,72,91.10%,7,8.90%,125,94.70%,7,5.30%,90,90.00%,10,10.00%,22,95.70%,1,4.30%,235,94.40%,14,5.60%,13,100.00%
Surrey,1,100.00%,0,0.00%,362,80.80%,86,19.20%,54,78.30%,15,21.70%,28,93.30%,2,6.70%,3,100.00%,0,0.00%,160,91.40%,15,8.60%,55,74.30%,19,25.70%,38,84.40%,7,15.60%,97,99.00%,1,1.00%,86,86.90%,13,13.10%,27,84.40%,5,15.60%,300,90.10%,33,9.90%,22,100.00%
Sussex,1,100.00%,0,0.00%,643,84.20%,121,15.80%,93,66.90%,46,33.10%,70,87.50%,10,12.50%,15,83.30%,3,16.70%,386,95.30%,19,4.70%,64,92.80%,5,7.20%,97,91.50%,9,8.50%,245,95.30%,12,4.70%,149,86.10%,24,13.90%,32,78.00%,9,22.00%,610,92.70%,48,7.30%,53,100.00%
Thames Valley,8,88.90%,1,11.10%,989,71.60%,393,28.40%,142,70.00%,61,30.00%,91,75.80%,29,24.20%,28,80.00%,7,20.00%,817,92.40%,67,7.60%,106,92.20%,9,7.80%,201,85.20%,35,14.80%,401,95.90%,17,4.10%,338,84.70%,61,15.30%,100,87.00%,15,13.00%,998,84.70%,180,15.30%,96,100.00%
Warwickshire,2,100.00%,0,0.00%,245,80.10%,61,19.90%,18,52.90%,16,47.10%,25,92.60%,2,7.40%,4,100.00%,0,0.00%,216,92.30%,18,7.70%,12,75.00%,4,25.00%,47,79.70%,12,20.30%,84,95.50%,4,4.50%,64,78.00%,18,22.00%,21,91.30%,2,8.70%,290,86.30%,46,13.70%,22,100.00%
West Mercia,3,75.00%,1,25.00%,679,82.40%,145,17.60%,78,70.90%,32,29.10%,67,84.80%,12,15.20%,15,88.20%,2,11.80%,484,93.10%,36,6.90%,42,87.50%,6,12.50%,92,84.40%,17,15.60%,200,94.80%,11,5.20%,233,86.30%,37,13.70%,50,92.60%,4,7.40%,727,90.00%,81,10.00%,24,100.00%
West Midlands,16,88.90%,2,11.10%,2133,80.80%,508,19.20%,200,70.40%,84,29.60%,204,84.60%,37,15.40%,129,74.60%,44,25.40%,1646,93.40%,116,6.60%,192,85.70%,32,14.30%,310,88.60%,40,11.40%,722,93.60%,49,6.40%,692,85.10%,121,14.90%,169,86.70%,26,13.30%,1034,86.00%,169,14.00%,212,100.00%
West Yorkshire,19,95.00%,1,5.00%,1451,80.00%,363,20.00%,175,69.40%,77,30.60%,196,89.90%,22,10.10%,49,80.30%,12,19.70%,1035,93.60%,71,6.40%,81,90.00%,9,10.00%,285,87.20%,42,12.80%,464,94.70%,26,5.30%,340,85.90%,56,14.10%,123,91.80%,11,8.20%,961,86.60%,149,13.40%,111,100.00%
Wiltshire,2,66.70%,1,33.30%,297,84.10%,56,15.90%,25,92.60%,2,7.40%,33,89.20%,4,10.80%,8,88.90%,1,11.10%,197,95.60%,9,4.40%,27,96.40%,1,3.60%,48,96.00%,2,4.00%,102,97.10%,3,2.90%,86,88.70%,11,11.30%,21,87.50%,3,12.50%,252,92.60%,20,7.40%,11,100.00%
