,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,0,-,0,-,358,84.60%,65,15.40%,16,100.00%,0,0.00%,66,85.70%,11,14.30%,7,87.50%,1,12.50%,355,92.90%,27,7.10%,25,86.20%,4,13.80%,97,89.80%,11,10.20%,63,98.40%,1,1.60%,108,79.40%,28,20.60%,23,74.20%,8,25.80%,309,95.10%,16,4.90%,10,100.00%
Dyfed Powys,3,75.00%,1,25.00%,204,81.90%,45,18.10%,21,56.80%,16,43.20%,17,81.00%,4,19.00%,4,100.00%,0,0.00%,106,94.60%,6,5.40%,25,89.30%,3,10.70%,37,82.20%,8,17.80%,173,93.50%,12,6.50%,80,93.00%,6,7.00%,16,84.20%,3,15.80%,266,79.40%,69,20.60%,9,100.00%
Essex,13,68.40%,6,31.60%,926,76.40%,286,23.60%,125,73.10%,46,26.90%,89,80.20%,22,19.80%,21,77.80%,6,22.20%,547,88.50%,71,11.50%,65,83.30%,13,16.70%,187,87.40%,27,12.60%,239,93.70%,16,6.30%,196,83.80%,38,16.20%,49,84.50%,9,15.50%,614,86.50%,96,13.50%,50,100.00%
Gloucestershire,6,100.00%,0,0.00%,253,82.40%,54,17.60%,17,89.50%,2,10.50%,44,93.60%,3,6.40%,2,66.70%,1,33.30%,177,95.20%,9,4.80%,17,89.50%,2,10.50%,41,80.40%,10,19.60%,70,100.00%,0,0.00%,48,87.30%,7,12.70%,9,100.00%,0,0.00%,185,91.60%,17,8.40%,24,100.00%
GreaterManchester,13,72.20%,5,27.80%,1768,79.40%,460,20.60%,296,72.20%,114,27.80%,210,88.60%,27,11.40%,57,85.10%,10,14.90%,910,95.20%,46,4.80%,95,86.40%,15,13.60%,274,85.40%,47,14.60%,394,94.50%,23,5.50%,495,88.70%,63,11.30%,119,82.60%,25,17.40%,1046,84.90%,186,15.10%,84,100.00%
Gwent,0,-,0,-,298,82.30%,64,17.70%,31,81.60%,7,18.40%,32,84.20%,6,15.80%,5,71.40%,2,28.60%,247,93.60%,17,6.40%,22,91.70%,2,8.30%,74,81.30%,17,18.70%,150,96.80%,5,3.20%,76,83.50%,15,16.50%,16,84.20%,3,15.80%,265,87.20%,39,12.80%,19,100.00%
Hampshire,9,90.00%,1,10.00%,807,85.60%,136,14.40%,115,83.90%,22,16.10%,93,93.00%,7,7.00%,19,86.40%,3,13.60%,544,93.60%,37,6.40%,73,83.90%,14,16.10%,116,86.60%,18,13.40%,236,94.80%,13,5.20%,188,89.10%,23,10.90%,55,85.90%,9,14.10%,680,89.70%,78,10.30%,37,100.00%
Hertfordshire,4,80.00%,1,20.00%,564,78.80%,152,21.20%,33,84.60%,6,15.40%,58,86.60%,9,13.40%,13,72.20%,5,27.80%,534,91.80%,48,8.20%,113,95.00%,6,5.00%,86,77.50%,25,22.50%,227,94.60%,13,5.40%,129,83.20%,26,16.80%,38,88.40%,5,11.60%,411,82.50%,87,17.50%,29,100.00%
Humberside,4,100.00%,0,0.00%,477,84.40%,88,15.60%,86,68.80%,39,31.20%,88,83.80%,17,16.20%,23,88.50%,3,11.50%,514,95.20%,26,4.80%,27,79.40%,7,20.60%,140,88.60%,18,11.40%,166,94.30%,10,5.70%,229,91.20%,22,8.80%,38,73.10%,14,26.90%,339,87.40%,49,12.60%,24,100.00%
Kent,21,91.30%,2,8.70%,741,79.60%,190,20.40%,70,64.80%,38,35.20%,113,91.90%,10,8.10%,29,80.60%,7,19.40%,468,91.10%,46,8.90%,106,83.50%,21,16.50%,104,82.50%,22,17.50%,261,93.90%,17,6.10%,162,88.00%,22,12.00%,50,80.60%,12,19.40%,577,88.10%,78,11.90%,66,100.00%
Lancashire,11,68.80%,5,31.30%,896,79.20%,236,20.80%,78,89.70%,9,10.30%,114,83.20%,23,16.80%,30,76.90%,9,23.10%,761,94.40%,45,5.60%,71,89.90%,8,10.10%,178,83.20%,36,16.80%,293,94.80%,16,5.20%,414,89.80%,47,10.20%,81,86.20%,13,13.80%,772,84.90%,137,15.10%,22,100.00%
Leicestershire,13,81.30%,3,18.80%,457,82.00%,100,18.00%,78,70.90%,32,29.10%,48,80.00%,12,20.00%,8,72.70%,3,27.30%,291,93.30%,21,6.70%,38,92.70%,3,7.30%,93,89.40%,11,10.60%,103,92.80%,8,7.20%,125,85.00%,22,15.00%,27,81.80%,6,18.20%,388,86.80%,59,13.20%,28,100.00%
Lincolnshire,2,100.00%,0,0.00%,438,81.10%,102,18.90%,18,100.00%,0,0.00%,59,90.80%,6,9.20%,9,81.80%,2,18.20%,350,92.80%,27,7.20%,21,80.80%,5,19.20%,93,90.30%,10,9.70%,103,92.80%,8,7.20%,150,85.70%,25,14.30%,38,66.70%,19,33.30%,410,81.00%,96,19.00%,21,100.00%
Merseyside,8,100.00%,0,0.00%,1002,82.80%,208,17.20%,110,71.90%,43,28.10%,76,88.40%,10,11.60%,32,94.10%,2,5.90%,610,94.90%,33,5.10%,62,91.20%,6,8.80%,158,84.50%,29,15.50%,580,94.20%,36,5.80%,306,89.20%,37,10.80%,57,91.90%,5,8.10%,616,88.40%,81,11.60%,55,100.00%
Metropolitan and City,73,78.50%,20,21.50%,5345,70.60%,2228,29.40%,459,66.10%,235,33.90%,633,80.20%,156,19.80%,263,79.90%,66,20.10%,3233,85.70%,541,14.30%,765,84.50%,140,15.50%,780,80.40%,190,19.60%,3404,91.80%,304,8.20%,1526,75.00%,509,25.00%,437,82.50%,93,17.50%,3100,75.50%,1007,24.50%,655,100.00%
Norfolk,5,71.40%,2,28.60%,571,81.90%,126,18.10%,33,91.70%,3,8.30%,45,88.20%,6,11.80%,6,54.50%,5,45.50%,367,92.00%,32,8.00%,24,82.80%,5,17.20%,128,90.10%,14,9.90%,131,95.60%,6,4.40%,202,83.10%,41,16.90%,31,100.00%,0,0.00%,318,92.70%,25,7.30%,35,100.00%
Northamptonshire,4,100.00%,0,0.00%,374,75.90%,119,24.10%,13,92.90%,1,7.10%,30,78.90%,8,21.10%,14,82.40%,3,17.60%,256,91.80%,23,8.20%,29,85.30%,5,14.70%,67,78.80%,18,21.20%,107,97.30%,3,2.70%,89,78.80%,24,21.20%,22,95.70%,1,4.30%,331,84.90%,59,15.10%,41,100.00%
Northumbria,6,85.70%,1,14.30%,972,73.50%,351,26.50%,160,69.90%,69,30.10%,137,80.10%,34,19.90%,26,72.20%,10,27.80%,1070,90.00%,119,10.00%,85,91.40%,8,8.60%,228,77.00%,68,23.00%,278,93.60%,19,6.40%,528,81.90%,117,18.10%,68,81.90%,15,18.10%,732,83.80%,142,16.20%,24,100.00%
North Wales,1,100.00%,0,0.00%,481,82.10%,105,17.90%,56,78.90%,15,21.10%,50,90.90%,5,9.10%,5,100.00%,0,0.00%,354,96.50%,13,3.50%,26,86.70%,4,13.30%,103,88.00%,14,12.00%,129,96.30%,5,3.70%,188,86.60%,29,13.40%,23,92.00%,2,8.00%,325,86.00%,53,14.00%,8,100.00%
North Yorkshire,3,60.00%,2,40.00%,358,81.00%,84,19.00%,20,87.00%,3,13.00%,41,77.40%,12,22.60%,14,100.00%,0,0.00%,369,92.90%,28,7.10%,28,80.00%,7,20.00%,80,92.00%,7,8.00%,126,93.30%,9,6.70%,148,92.50%,12,7.50%,28,90.30%,3,9.70%,351,93.90%,23,6.10%,20,100.00%
Nottinghamshire,9,90.00%,1,10.00%,819,76.60%,250,23.40%,97,72.90%,36,27.10%,83,82.20%,18,17.80%,30,73.20%,11,26.80%,762,91.90%,67,8.10%,54,83.10%,11,16.90%,141,78.30%,39,21.70%,314,95.70%,14,4.30%,262,83.40%,52,16.60%,56,88.90%,7,11.10%,465,84.40%,86,15.60%,43,100.00%
South Wales,10,71.40%,4,28.60%,1087,74.70%,369,25.30%,69,64.50%,38,35.50%,106,77.90%,30,22.10%,21,84.00%,4,16.00%,758,94.80%,42,5.30%,77,91.70%,7,8.30%,191,89.70%,22,10.30%,450,97.40%,12,2.60%,383,89.10%,47,10.90%,55,91.70%,5,8.30%,775,78.60%,211,21.40%,26,100.00%
South Yorkshire,8,100.00%,0,0.00%,621,78.40%,171,21.60%,21,84.00%,4,16.00%,79,82.30%,17,17.70%,19,79.20%,5,20.80%,794,94.60%,45,5.40%,40,85.10%,7,14.90%,179,84.40%,33,15.60%,283,94.60%,16,5.40%,284,89.30%,34,10.70%,67,98.50%,1,1.50%,509,89.30%,61,10.70%,45,100.00%
Staffordshire,8,88.90%,1,11.10%,664,79.10%,175,20.90%,70,84.30%,13,15.70%,44,84.60%,8,15.40%,13,76.50%,4,23.50%,450,93.20%,33,6.80%,36,94.70%,2,5.30%,162,83.90%,31,16.10%,221,96.50%,8,3.50%,213,91.80%,19,8.20%,58,92.10%,5,7.90%,508,79.60%,130,20.40%,34,100.00%
Suffolk,0,-,0,-,364,87.50%,52,12.50%,14,73.70%,5,26.30%,35,94.60%,2,5.40%,10,83.30%,2,16.70%,197,92.90%,15,7.10%,17,85.00%,3,15.00%,76,90.50%,8,9.50%,111,100.00%,0,0.00%,104,90.40%,11,9.60%,15,93.80%,1,6.30%,283,95.60%,13,4.40%,26,100.00%
Surrey,0,-,0,-,435,80.10%,108,19.90%,21,44.70%,26,55.30%,40,87.00%,6,13.00%,11,84.60%,2,15.40%,178,92.20%,15,7.80%,26,92.90%,2,7.10%,60,82.20%,13,17.80%,112,95.70%,5,4.30%,93,81.60%,21,18.40%,29,87.90%,4,12.10%,332,91.70%,30,8.30%,35,100.00%
Sussex,1,100.00%,0,0.00%,747,82.70%,156,17.30%,82,60.70%,53,39.30%,94,86.20%,15,13.80%,19,73.10%,7,26.90%,517,93.30%,37,6.70%,53,91.40%,5,8.60%,108,85.00%,19,15.00%,208,95.00%,11,5.00%,187,84.20%,35,15.80%,52,92.90%,4,7.10%,549,92.40%,45,7.60%,43,100.00%
Thames Valley,15,83.30%,3,16.70%,1186,75.30%,390,24.70%,139,66.20%,71,33.80%,108,82.40%,23,17.60%,36,90.00%,4,10.00%,822,90.80%,83,9.20%,107,85.60%,18,14.40%,159,82.80%,33,17.20%,395,96.80%,13,3.20%,321,79.50%,83,20.50%,86,90.50%,9,9.50%,772,87.30%,112,12.70%,67,100.00%
Warwickshire,11,91.70%,1,8.30%,255,83.90%,49,16.10%,27,84.40%,5,15.60%,31,91.20%,3,8.80%,5,71.40%,2,28.60%,190,94.10%,12,5.90%,18,75.00%,6,25.00%,32,82.10%,7,17.90%,49,92.50%,4,7.50%,56,87.50%,8,12.50%,8,80.00%,2,20.00%,282,78.80%,76,21.20%,17,100.00%
West Mercia,4,100.00%,0,0.00%,593,81.30%,136,18.70%,88,78.60%,24,21.40%,56,81.20%,13,18.80%,12,66.70%,6,33.30%,492,94.60%,28,5.40%,59,89.40%,7,10.60%,103,88.00%,14,12.00%,194,91.90%,17,8.10%,191,91.40%,18,8.60%,50,92.60%,4,7.40%,612,86.90%,92,13.10%,22,100.00%
West Midlands,34,81.00%,8,19.00%,2210,80.10%,549,19.90%,212,65.60%,111,34.40%,210,78.70%,57,21.30%,121,78.60%,33,21.40%,1949,93.60%,133,6.40%,266,87.20%,39,12.80%,311,87.40%,45,12.60%,799,95.10%,41,4.90%,896,83.60%,176,16.40%,214,83.90%,41,16.10%,1154,85.10%,202,14.90%,199,100.00%
West Yorkshire,19,95.00%,1,5.00%,1407,79.30%,368,20.70%,173,78.30%,48,21.70%,187,85.80%,31,14.20%,69,93.20%,5,6.80%,963,94.70%,54,5.30%,99,86.10%,16,13.90%,320,89.40%,38,10.60%,541,90.30%,58,9.70%,458,87.20%,67,12.80%,112,89.60%,13,10.40%,858,86.10%,138,13.90%,79,100.00%
Wiltshire,2,100.00%,0,0.00%,341,87.00%,51,13.00%,33,78.60%,9,21.40%,29,96.70%,1,3.30%,12,100.00%,0,0.00%,241,92.30%,20,7.70%,25,89.30%,3,10.70%,69,90.80%,7,9.20%,90,94.70%,5,5.30%,86,90.50%,9,9.50%,30,85.70%,5,14.30%,214,91.10%,21,8.90%,11,100.00%
