,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Durham,3,75.00%,1,25.00%,435,80.60%,105,19.40%,19,95.00%,1,5.00%,66,90.40%,7,9.60%,16,80.00%,4,20.00%,363,91.20%,35,8.80%,34,97.10%,1,2.90%,92,86.80%,14,13.20%,74,96.10%,3,3.90%,89,81.70%,20,18.30%,18,85.70%,3,14.30%,280,92.70%,22,7.30%,11,100.00%
Dyfed Powys,0,0.00%,2,100.00%,247,85.20%,43,14.80%,18,66.70%,9,33.30%,10,71.40%,4,28.60%,2,100.00%,0,0.00%,137,94.50%,8,5.50%,8,100.00%,0,0.00%,47,87.00%,7,13.00%,162,94.20%,10,5.80%,77,84.60%,14,15.40%,15,88.20%,2,11.80%,216,85.00%,38,15.00%,5,100.00%
Essex,13,92.90%,1,7.10%,940,77.20%,278,22.80%,138,71.10%,56,28.90%,114,83.80%,22,16.20%,34,64.20%,19,35.80%,617,92.60%,49,7.40%,69,88.50%,9,11.50%,153,86.40%,24,13.60%,251,95.80%,11,4.20%,168,81.60%,38,18.40%,43,93.50%,3,6.50%,767,76.20%,239,23.80%,53,100.00%
Gloucestershire,0,-,0,-,263,76.90%,79,23.10%,7,87.50%,1,12.50%,43,91.50%,4,8.50%,11,84.60%,2,15.40%,236,95.20%,12,4.80%,24,82.80%,5,17.20%,41,82.00%,9,18.00%,99,98.00%,2,2.00%,50,87.70%,7,12.30%,5,71.40%,2,28.60%,198,93.80%,13,6.20%,44,100.00%
GreaterManchester,15,88.20%,2,11.80%,2077,82.50%,441,17.50%,260,76.70%,79,23.30%,255,92.40%,21,7.60%,97,85.80%,16,14.20%,1047,93.00%,79,7.00%,141,90.40%,15,9.60%,334,89.80%,38,10.20%,442,91.90%,39,8.10%,523,88.30%,69,11.70%,119,80.40%,29,19.60%,1215,83.80%,235,16.20%,87,100.00%
Gwent,3,100.00%,0,0.00%,334,79.70%,85,20.30%,33,78.60%,9,21.40%,39,86.70%,6,13.30%,9,100.00%,0,0.00%,246,92.50%,20,7.50%,21,84.00%,4,16.00%,81,81.80%,18,18.20%,126,96.20%,5,3.80%,71,82.60%,15,17.40%,12,85.70%,2,14.30%,254,86.10%,41,13.90%,9,100.00%
Hampshire,6,66.70%,3,33.30%,864,83.30%,173,16.70%,94,74.60%,32,25.40%,111,84.70%,20,15.30%,18,85.70%,3,14.30%,642,94.10%,40,5.90%,77,86.50%,12,13.50%,155,90.60%,16,9.40%,265,92.00%,23,8.00%,250,91.20%,24,8.80%,43,86.00%,7,14.00%,685,89.40%,81,10.60%,52,100.00%
Hertfordshire,3,100.00%,0,0.00%,731,77.10%,217,22.90%,38,80.90%,9,19.10%,74,91.40%,7,8.60%,15,93.80%,1,6.30%,530,91.40%,50,8.60%,98,87.50%,14,12.50%,110,82.10%,24,17.90%,273,96.10%,11,3.90%,174,79.80%,44,20.20%,32,84.20%,6,15.80%,497,86.30%,79,13.70%,29,100.00%
Humberside,3,75.00%,1,25.00%,498,84.30%,93,15.70%,84,70.60%,35,29.40%,85,85.90%,14,14.10%,22,95.70%,1,4.30%,533,95.00%,28,5.00%,37,82.20%,8,17.80%,138,89.00%,17,11.00%,200,91.70%,18,8.30%,187,89.90%,21,10.10%,31,88.60%,4,11.40%,413,84.80%,74,15.20%,16,100.00%
Kent,22,84.60%,4,15.40%,816,80.50%,198,19.50%,67,70.50%,28,29.50%,91,79.10%,24,20.90%,25,80.60%,6,19.40%,563,86.00%,92,14.00%,95,82.60%,20,17.40%,124,81.60%,28,18.40%,272,91.90%,24,8.10%,181,87.40%,26,12.60%,80,94.10%,5,5.90%,551,87.50%,79,12.50%,60,100.00%
Lancashire,7,100.00%,0,0.00%,927,77.90%,263,22.10%,65,90.30%,7,9.70%,176,87.10%,26,12.90%,59,81.90%,13,18.10%,813,93.30%,58,6.70%,51,94.40%,3,5.60%,195,85.90%,32,14.10%,312,92.60%,25,7.40%,426,84.20%,80,15.80%,63,91.30%,6,8.70%,741,82.00%,163,18.00%,26,100.00%
Leicestershire,9,90.00%,1,10.00%,483,78.90%,129,21.10%,53,74.60%,18,25.40%,78,89.70%,9,10.30%,15,83.30%,3,16.70%,379,92.70%,30,7.30%,42,84.00%,8,16.00%,99,83.20%,20,16.80%,112,90.30%,12,9.70%,127,84.70%,23,15.30%,30,85.70%,5,14.30%,300,86.20%,48,13.80%,37,100.00%
Lincolnshire,1,100.00%,0,0.00%,423,81.00%,99,19.00%,18,85.70%,3,14.30%,44,77.20%,13,22.80%,4,66.70%,2,33.30%,323,89.00%,40,11.00%,24,85.70%,4,14.30%,80,83.30%,16,16.70%,122,94.60%,7,5.40%,160,86.00%,26,14.00%,41,80.40%,10,19.60%,346,84.00%,66,16.00%,45,100.00%
Merseyside,5,100.00%,0,0.00%,1062,82.90%,219,17.10%,94,75.20%,31,24.80%,78,91.80%,7,8.20%,23,88.50%,3,11.50%,702,95.00%,37,5.00%,72,88.90%,9,11.10%,145,90.60%,15,9.40%,579,95.50%,27,4.50%,324,86.60%,50,13.40%,63,81.80%,14,18.20%,596,89.10%,73,10.90%,46,100.00%
Metropolitan and City,48,71.60%,19,28.40%,5363,69.40%,2370,30.60%,463,68.60%,212,31.40%,670,79.50%,173,20.50%,315,73.10%,116,26.90%,3258,85.00%,574,15.00%,766,84.00%,146,16.00%,793,79.40%,206,20.60%,3455,92.50%,282,7.50%,1589,75.00%,531,25.00%,479,79.80%,121,20.20%,3299,75.70%,1060,24.30%,597,100.00%
Norfolk,0,-,0,-,588,79.70%,150,20.30%,38,82.60%,8,17.40%,43,93.50%,3,6.50%,8,66.70%,4,33.30%,387,93.30%,28,6.70%,39,86.70%,6,13.30%,114,87.70%,16,12.30%,186,96.40%,7,3.60%,251,89.60%,29,10.40%,31,88.60%,4,11.40%,338,85.60%,57,14.40%,35,100.00%
Northamptonshire,2,66.70%,1,33.30%,386,76.00%,122,24.00%,12,66.70%,6,33.30%,36,80.00%,9,20.00%,5,71.40%,2,28.60%,266,88.70%,34,11.30%,36,85.70%,6,14.30%,70,72.90%,26,27.10%,109,94.00%,7,6.00%,114,85.10%,20,14.90%,25,96.20%,1,3.80%,291,85.60%,49,14.40%,27,100.00%
Northumbria,7,87.50%,1,12.50%,1086,76.90%,327,23.10%,102,66.70%,51,33.30%,165,83.80%,32,16.20%,34,91.90%,3,8.10%,1147,91.20%,111,8.80%,73,83.00%,15,17.00%,267,79.90%,67,20.10%,305,92.40%,25,7.60%,497,81.70%,111,18.30%,63,87.50%,9,12.50%,655,85.00%,116,15.00%,51,100.00%
North Wales,2,100.00%,0,0.00%,507,85.10%,89,14.90%,51,77.30%,15,22.70%,74,84.10%,14,15.90%,13,81.30%,3,18.80%,369,94.40%,22,5.60%,35,94.60%,2,5.40%,131,88.50%,17,11.50%,117,94.40%,7,5.60%,181,87.40%,26,12.60%,24,96.00%,1,4.00%,317,85.40%,54,14.60%,10,100.00%
North Yorkshire,3,100.00%,0,0.00%,376,79.80%,95,20.20%,25,86.20%,4,13.80%,53,88.30%,7,11.70%,21,95.50%,1,4.50%,406,92.90%,31,7.10%,31,96.90%,1,3.10%,121,87.70%,17,12.30%,140,94.00%,9,6.00%,183,91.50%,17,8.50%,31,81.60%,7,18.40%,348,92.80%,27,7.20%,21,100.00%
Nottinghamshire,5,55.60%,4,44.40%,802,75.90%,254,24.10%,114,76.00%,36,24.00%,83,84.70%,15,15.30%,29,70.70%,12,29.30%,602,90.50%,63,9.50%,38,73.10%,14,26.90%,160,85.60%,27,14.40%,363,94.00%,23,6.00%,199,76.50%,61,23.50%,43,89.60%,5,10.40%,498,88.00%,68,12.00%,52,100.00%
South Wales,3,100.00%,0,0.00%,1201,77.80%,343,22.20%,75,65.80%,39,34.20%,122,87.10%,18,12.90%,27,81.80%,6,18.20%,772,94.30%,47,5.70%,115,93.50%,8,6.50%,186,88.60%,24,11.40%,433,95.60%,20,4.40%,350,88.40%,46,11.60%,30,85.70%,5,14.30%,708,80.50%,172,19.50%,44,100.00%
South Yorkshire,6,85.70%,1,14.30%,711,81.00%,167,19.00%,23,85.20%,4,14.80%,112,91.10%,11,8.90%,25,83.30%,5,16.70%,895,95.00%,47,5.00%,53,91.40%,5,8.60%,186,85.30%,32,14.70%,305,95.60%,14,4.40%,351,87.80%,49,12.30%,52,86.70%,8,13.30%,523,87.00%,78,13.00%,30,100.00%
Staffordshire,7,100.00%,0,0.00%,715,82.50%,152,17.50%,67,73.60%,24,26.40%,65,84.40%,12,15.60%,17,89.50%,2,10.50%,409,90.50%,43,9.50%,22,78.60%,6,21.40%,161,85.60%,27,14.40%,224,94.90%,12,5.10%,224,90.00%,25,10.00%,39,90.70%,4,9.30%,512,78.50%,140,21.50%,43,100.00%
Suffolk,1,100.00%,0,0.00%,357,84.40%,66,15.60%,17,81.00%,4,19.00%,34,85.00%,6,15.00%,5,71.40%,2,28.60%,253,96.20%,10,3.80%,41,93.20%,3,6.80%,75,88.20%,10,11.80%,128,98.50%,2,1.50%,135,91.80%,12,8.20%,20,87.00%,3,13.00%,289,93.50%,20,6.50%,20,100.00%
Surrey,0,-,0,-,446,78.10%,125,21.90%,42,71.20%,17,28.80%,23,85.20%,4,14.80%,8,61.50%,5,38.50%,196,92.50%,16,7.50%,26,86.70%,4,13.30%,53,93.00%,4,7.00%,119,96.70%,4,3.30%,66,84.60%,12,15.40%,10,100.00%,0,0.00%,311,91.20%,30,8.80%,20,100.00%
Sussex,1,100.00%,0,0.00%,789,81.40%,180,18.60%,79,61.70%,49,38.30%,78,84.80%,14,15.20%,19,70.40%,8,29.60%,553,94.50%,32,5.50%,57,91.90%,5,8.10%,117,78.50%,32,21.50%,274,90.40%,29,9.60%,204,86.80%,31,13.20%,55,82.10%,12,17.90%,590,90.90%,59,9.10%,43,100.00%
Thames Valley,10,83.30%,2,16.70%,1306,74.00%,460,26.00%,121,69.50%,53,30.50%,133,79.20%,35,20.80%,38,82.60%,8,17.40%,958,91.90%,85,8.10%,96,85.00%,17,15.00%,181,80.80%,43,19.20%,445,90.80%,45,9.20%,291,80.60%,70,19.40%,80,95.20%,4,4.80%,842,87.10%,125,12.90%,52,100.00%
Warwickshire,2,50.00%,2,50.00%,218,78.40%,60,21.60%,25,78.10%,7,21.90%,33,89.20%,4,10.80%,3,100.00%,0,0.00%,174,94.60%,10,5.40%,13,92.90%,1,7.10%,38,80.90%,9,19.10%,84,100.00%,0,0.00%,73,85.90%,12,14.10%,18,90.00%,2,10.00%,294,84.00%,56,16.00%,13,100.00%
West Mercia,4,57.10%,3,42.90%,655,80.30%,161,19.70%,73,68.20%,34,31.80%,52,80.00%,13,20.00%,17,94.40%,1,5.60%,388,93.90%,25,6.10%,36,83.70%,7,16.30%,99,83.20%,20,16.80%,168,92.30%,14,7.70%,200,90.10%,22,9.90%,42,91.30%,4,8.70%,641,87.90%,88,12.10%,33,100.00%
West Midlands,18,75.00%,6,25.00%,2381,80.10%,592,19.90%,205,73.50%,74,26.50%,232,85.00%,41,15.00%,136,80.00%,34,20.00%,2004,92.60%,160,7.40%,357,90.40%,38,9.60%,323,85.00%,57,15.00%,783,94.90%,42,5.10%,885,84.00%,168,16.00%,266,87.80%,37,12.20%,1068,86.20%,171,13.80%,219,100.00%
West Yorkshire,14,77.80%,4,22.20%,1536,79.10%,405,20.90%,145,77.50%,42,22.50%,233,90.70%,24,9.30%,59,83.10%,12,16.90%,1100,92.10%,94,7.90%,138,84.10%,26,15.90%,307,86.00%,50,14.00%,464,93.90%,30,6.10%,376,84.90%,67,15.10%,82,81.20%,19,18.80%,922,84.90%,164,15.10%,83,100.00%
Wiltshire,6,85.70%,1,14.30%,393,85.60%,66,14.40%,33,78.60%,9,21.40%,31,96.90%,1,3.10%,4,100.00%,0,0.00%,282,92.20%,24,7.80%,34,94.40%,2,5.60%,74,92.50%,6,7.50%,99,96.10%,4,3.90%,89,91.80%,8,8.20%,23,74.20%,8,25.80%,265,94.00%,17,6.00%,11,100.00%
