,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
Leicestershire,3,60.00%,2,40.00%,445,74.00%,156,26.00%,29,60.40%,19,39.60%,57,96.60%,2,3.40%,15,83.30%,3,16.70%,391,89.50%,46,10.50%,29,85.30%,5,14.70%,85,84.20%,16,15.80%,117,93.60%,8,6.40%,121,82.90%,25,17.10%,46,76.70%,14,23.30%,377,81.80%,84,18.20%,43,100.00%
Lincolnshire,3,100.00%,0,0.00%,303,79.30%,79,20.70%,31,91.20%,3,8.80%,48,88.90%,6,11.10%,5,100.00%,0,0.00%,367,92.90%,28,7.10%,13,100.00%,0,0.00%,85,85.00%,15,15.00%,130,94.90%,7,5.10%,148,86.00%,24,14.00%,52,89.70%,6,10.30%,408,86.10%,66,13.90%,20,100.00%
Merseyside,11,100.00%,0,0.00%,989,77.60%,285,22.40%,83,79.00%,22,21.00%,79,87.80%,11,12.20%,33,71.70%,13,28.30%,771,95.00%,41,5.00%,54,93.10%,4,6.90%,208,86.70%,32,13.30%,615,92.90%,47,7.10%,261,85.90%,43,14.10%,231,84.00%,44,16.00%,555,87.80%,77,12.20%,37,100.00%
Metropolitan and City,68,76.40%,21,23.60%,4278,67.70%,2042,32.30%,415,71.10%,169,28.90%,642,77.60%,185,22.40%,346,75.20%,114,24.80%,3611,88.70%,459,11.30%,563,80.80%,134,19.20%,1007,82.20%,218,17.80%,2766,92.10%,236,7.90%,1608,80.90%,380,19.10%,1404,82.10%,306,17.90%,3788,77.60%,1091,22.40%,553,100.00%
Norfolk,1,100.00%,0,0.00%,530,77.40%,155,22.60%,18,78.30%,5,21.70%,48,84.20%,9,15.80%,12,92.30%,1,7.70%,428,91.80%,38,8.20%,27,81.80%,6,18.20%,136,88.90%,17,11.10%,138,95.80%,6,4.20%,292,87.70%,41,12.30%,48,88.90%,6,11.10%,345,88.70%,44,11.30%,33,100.00%
Northamptonshire,0,-,0,-,366,75.90%,116,24.10%,23,56.10%,18,43.90%,30,75.00%,10,25.00%,14,82.40%,3,17.60%,346,90.80%,35,9.20%,16,94.10%,1,5.90%,84,80.00%,21,20.00%,123,93.90%,8,6.10%,122,83.00%,25,17.00%,41,91.10%,4,8.90%,348,90.90%,35,9.10%,20,100.00%
Northumbria,5,100.00%,0,0.00%,841,67.70%,402,32.30%,70,74.50%,24,25.50%,149,79.30%,39,20.70%,26,74.30%,9,25.70%,1464,90.50%,153,9.50%,56,83.60%,11,16.40%,316,82.70%,66,17.30%,311,92.60%,25,7.40%,681,81.40%,156,18.60%,170,77.60%,49,22.40%,616,79.60%,158,20.40%,31,100.00%
North Wales,1,100.00%,0,0.00%,503,81.00%,118,19.00%,35,66.00%,18,34.00%,52,91.20%,5,8.80%,6,66.70%,3,33.30%,408,96.00%,17,4.00%,14,70.00%,6,30.00%,107,86.30%,17,13.70%,133,95.70%,6,4.30%,196,92.50%,16,7.50%,44,93.60%,3,6.40%,305,87.40%,44,12.60%,9,100.00%
North Yorkshire,7,70.00%,3,30.00%,364,85.40%,62,14.60%,13,92.90%,1,7.10%,51,89.50%,6,10.50%,10,83.30%,2,16.70%,437,94.00%,28,6.00%,34,87.20%,5,12.80%,95,88.00%,13,12.00%,129,93.50%,9,6.50%,197,88.30%,26,11.70%,44,91.70%,4,8.30%,358,92.70%,28,7.30%,20,100.00%
Nottinghamshire,4,100.00%,0,0.00%,688,72.70%,258,27.30%,46,73.00%,17,27.00%,86,87.80%,12,12.20%,20,58.80%,14,41.20%,666,92.00%,58,8.00%,54,93.10%,4,6.90%,169,80.50%,41,19.50%,332,95.10%,17,4.90%,272,85.00%,48,15.00%,137,81.10%,32,18.90%,468,88.80%,59,11.20%,58,100.00%
South Wales,3,75.00%,1,25.00%,919,75.80%,294,24.20%,80,70.20%,34,29.80%,144,85.20%,25,14.80%,27,84.40%,5,15.60%,911,94.80%,50,5.20%,48,82.80%,10,17.20%,226,88.60%,29,11.40%,438,95.20%,22,4.80%,506,87.20%,74,12.80%,49,79.00%,13,21.00%,1904,91.80%,170,8.20%,39,100.00%
South Yorkshire,9,100.00%,0,0.00%,715,77.20%,211,22.80%,28,77.80%,8,22.20%,112,84.20%,21,15.80%,28,77.80%,8,22.20%,972,93.20%,71,6.80%,74,93.70%,5,6.30%,203,85.70%,34,14.30%,334,94.10%,21,5.90%,258,85.40%,44,14.60%,106,89.10%,13,10.90%,485,91.30%,46,8.70%,33,100.00%
Staffordshire,4,100.00%,0,0.00%,481,71.70%,190,28.30%,50,79.40%,13,20.60%,73,80.20%,18,19.80%,22,91.70%,2,8.30%,493,92.80%,38,7.20%,28,77.80%,8,22.20%,128,84.80%,23,15.20%,229,97.40%,6,2.60%,168,84.40%,31,15.60%,94,87.90%,13,12.10%,470,77.80%,134,22.20%,39,100.00%
Suffolk,2,100.00%,0,0.00%,414,82.00%,91,18.00%,10,76.90%,3,23.10%,18,75.00%,6,25.00%,15,93.80%,1,6.30%,274,95.50%,13,4.50%,11,78.60%,3,21.40%,91,83.50%,18,16.50%,115,95.00%,6,5.00%,155,90.10%,17,9.90%,31,88.60%,4,11.40%,302,83.20%,61,16.80%,20,100.00%
Surrey,0,-,0,-,434,78.50%,119,21.50%,40,78.40%,11,21.60%,57,90.50%,6,9.50%,12,100.00%,0,0.00%,318,91.10%,31,8.90%,66,95.70%,3,4.30%,62,78.50%,17,21.50%,180,91.80%,16,8.20%,125,88.00%,17,12.00%,60,76.90%,18,23.10%,377,88.90%,47,11.10%,26,100.00%
Sussex,1,100.00%,0,0.00%,790,76.30%,246,23.70%,89,67.40%,43,32.60%,89,87.30%,13,12.70%,33,91.70%,3,8.30%,729,92.60%,58,7.40%,47,87.00%,7,13.00%,147,82.60%,31,17.40%,283,94.30%,17,5.70%,208,85.60%,35,14.40%,108,80.00%,27,20.00%,649,87.30%,94,12.70%,72,100.00%
Thames Valley,9,100.00%,0,0.00%,904,72.80%,338,27.20%,124,64.20%,69,35.80%,101,78.30%,28,21.70%,35,76.10%,11,23.90%,897,92.90%,69,7.10%,94,93.10%,7,6.90%,188,86.60%,29,13.40%,385,93.00%,29,7.00%,325,83.80%,63,16.20%,123,70.30%,52,29.70%,794,86.70%,122,13.30%,77,100.00%
Warwickshire,2,100.00%,0,0.00%,194,79.20%,51,20.80%,16,76.20%,5,23.80%,31,91.20%,3,8.80%,7,70.00%,3,30.00%,188,91.70%,17,8.30%,7,87.50%,1,12.50%,37,82.20%,8,17.80%,49,98.00%,1,2.00%,54,88.50%,7,11.50%,51,92.70%,4,7.30%,228,74.50%,78,25.50%,31,100.00%
West Mercia,6,100.00%,0,0.00%,543,79.20%,143,20.80%,61,78.20%,17,21.80%,57,83.80%,11,16.20%,14,87.50%,2,12.50%,443,91.90%,39,8.10%,29,87.90%,4,12.10%,138,87.30%,20,12.70%,179,96.80%,6,3.20%,158,85.90%,26,14.10%,72,92.30%,6,7.70%,479,88.50%,62,11.50%,28,100.00%
West Midlands,12,75.00%,4,25.00%,1591,75.00%,531,25.00%,140,76.10%,44,23.90%,214,78.40%,59,21.60%,163,83.20%,33,16.80%,1784,92.60%,143,7.40%,65,81.30%,15,18.80%,295,86.80%,45,13.20%,552,95.30%,27,4.70%,434,86.60%,67,13.40%,345,89.80%,39,10.20%,998,83.70%,194,16.30%,164,100.00%
West Yorkshire,10,83.30%,2,16.70%,1385,76.30%,431,23.70%,159,76.80%,48,23.20%,232,85.00%,41,15.00%,60,88.20%,8,11.80%,1156,91.40%,109,8.60%,82,82.00%,18,18.00%,312,84.60%,57,15.40%,472,94.60%,27,5.40%,394,82.10%,86,17.90%,162,84.80%,29,15.20%,907,83.60%,178,16.40%,93,100.00%
Wiltshire,0,-,0,-,277,83.40%,55,16.60%,23,85.20%,4,14.80%,25,80.60%,6,19.40%,11,84.60%,2,15.40%,241,94.10%,15,5.90%,19,86.40%,3,13.60%,78,87.60%,11,12.40%,83,95.40%,4,4.60%,103,84.40%,19,15.60%,9,81.80%,2,18.20%,234,90.00%,26,10.00%,12,100.00%
