Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,219,82.60%,46,17.40%,"29,338",75.30%,"9,645",24.70%,"2,669",72.40%,"1,020",27.60%,"3,900",84.20%,733,15.80%,"1,371",80.50%,333,19.50%,"27,635",91.80%,"2,470",8.20%,"2,195",85.80%,363,14.20%,"7,016",85.10%,"1,229",14.90%,"12,198",93.80%,800,6.20%,"10,954",84.90%,"1,949",15.10%,"5,419",84.50%,996,15.50%,"23,946",84.70%,"4,336",15.30%,"2,222",100.00%,
Avon and Somerset,14,93.30%,1,6.70%,752,76.60%,230,23.40%,133,69.30%,59,30.70%,79,91.90%,7,8.10%,27,87.10%,4,12.90%,784,95.00%,41,5.00%,50,84.70%,9,15.30%,208,87.00%,31,13.00%,300,95.80%,13,4.20%,261,87.30%,38,12.70%,157,84.40%,29,15.60%,639,83.00%,131,17.00%,94,100.00%,
Bedfordshire,2,100.00%,0,0.00%,260,73.70%,93,26.30%,14,63.60%,8,36.40%,43,91.50%,4,8.50%,43,95.60%,2,4.40%,225,91.80%,20,8.20%,27,87.10%,4,12.90%,69,83.10%,14,16.90%,98,96.10%,4,3.90%,104,86.70%,16,13.30%,48,76.20%,15,23.80%,199,88.10%,27,11.90%,33,100.00%,
Cambridgeshire,1,100.00%,0,0.00%,316,79.60%,81,20.40%,18,75.00%,6,25.00%,48,94.10%,3,5.90%,18,69.20%,8,30.80%,244,90.70%,25,9.30%,28,90.30%,3,9.70%,70,89.70%,8,10.30%,114,94.20%,7,5.80%,115,91.30%,11,8.70%,37,88.10%,5,11.90%,267,88.10%,36,11.90%,31,100.00%,
Cheshire,2,100.00%,0,0.00%,619,81.70%,139,18.30%,61,84.70%,11,15.30%,70,88.60%,9,11.40%,7,70.00%,3,30.00%,518,92.20%,44,7.80%,35,89.70%,4,10.30%,117,87.30%,17,12.70%,290,96.00%,12,4.00%,173,88.30%,23,11.70%,144,88.30%,19,11.70%,442,88.60%,57,11.40%,29,100.00%,
Cleveland,3,100.00%,0,0.00%,338,73.80%,120,26.20%,39,76.50%,12,23.50%,85,87.60%,12,12.40%,20,95.20%,1,4.80%,819,91.50%,76,8.50%,38,88.40%,5,11.60%,131,81.90%,29,18.10%,191,92.30%,16,7.70%,275,80.90%,65,19.10%,27,67.50%,13,32.50%,227,91.50%,21,8.50%,14,100.00%,
Cumbria,0,-,0,-,269,83.50%,53,16.50%,20,76.90%,6,23.10%,33,86.80%,5,13.20%,2,100.00%,0,0.00%,256,94.10%,16,5.90%,17,100.00%,0,0.00%,81,94.20%,5,5.80%,129,98.50%,2,1.50%,118,94.40%,7,5.60%,147,92.50%,12,7.50%,255,85.90%,42,14.10%,8,100.00%,
Derbyshire,1,50.00%,1,50.00%,528,76.40%,163,23.60%,36,78.30%,10,21.70%,52,78.80%,14,21.20%,11,50.00%,11,50.00%,456,93.40%,32,6.60%,46,92.00%,4,8.00%,124,82.10%,27,17.90%,224,95.30%,11,4.70%,242,84.30%,45,15.70%,60,78.90%,16,21.10%,341,88.60%,44,11.40%,30,100.00%,
Devon and Cornwall,2,100.00%,0,0.00%,540,73.90%,191,26.10%,19,82.60%,4,17.40%,64,84.20%,12,15.80%,14,82.40%,3,17.60%,455,93.40%,32,6.60%,20,83.30%,4,16.70%,144,84.70%,26,15.30%,220,94.80%,12,5.20%,151,82.10%,33,17.90%,204,92.70%,16,7.30%,519,88.70%,66,11.30%,53,100.00%,
Dorset,1,100.00%,0,0.00%,321,80.50%,78,19.50%,29,78.40%,8,21.60%,48,96.00%,2,4.00%,4,80.00%,1,20.00%,310,91.20%,30,8.80%,18,90.00%,2,10.00%,66,89.20%,8,10.80%,133,95.70%,6,4.30%,120,88.90%,15,11.10%,13,86.70%,2,13.30%,253,89.40%,30,10.60%,19,100.00%,
Durham,0,-,0,-,339,77.40%,99,22.60%,30,73.20%,11,26.80%,77,93.90%,5,6.10%,7,100.00%,0,0.00%,371,91.40%,35,8.60%,24,85.70%,4,14.30%,127,86.40%,20,13.60%,64,94.10%,4,5.90%,171,82.60%,36,17.40%,32,84.20%,6,15.80%,222,92.90%,17,7.10%,4,100.00%,
Dyfed Powys,0,-,0,-,230,78.80%,62,21.20%,16,64.00%,9,36.00%,20,87.00%,3,13.00%,2,100.00%,0,0.00%,138,92.00%,12,8.00%,7,100.00%,0,0.00%,76,85.40%,13,14.60%,223,95.30%,11,4.70%,104,86.00%,17,14.00%,7,77.80%,2,22.20%,168,81.60%,38,18.40%,10,100.00%,
Essex,3,100.00%,0,0.00%,809,74.70%,274,25.30%,118,70.20%,50,29.80%,63,81.80%,14,18.20%,24,72.70%,9,27.30%,495,89.50%,58,10.50%,47,81.00%,11,19.00%,168,85.70%,28,14.30%,212,91.80%,19,8.20%,140,83.30%,28,16.70%,120,86.30%,19,13.70%,551,75.10%,183,24.90%,62,100.00%,
Gloucestershire,0,-,0,-,213,73.20%,78,26.80%,11,91.70%,1,8.30%,36,92.30%,3,7.70%,4,100.00%,0,0.00%,215,94.30%,13,5.70%,13,86.70%,2,13.30%,50,94.30%,3,5.70%,58,96.70%,2,3.30%,55,88.70%,7,11.30%,51,85.00%,9,15.00%,155,86.10%,25,13.90%,32,100.00%,
GreaterManchester,5,50.00%,5,50.00%,1968,78.70%,533,21.30%,165,66.50%,83,33.50%,248,91.20%,24,8.80%,102,85.00%,18,15.00%,1354,93.00%,102,7.00%,124,87.30%,18,12.70%,444,90.20%,48,9.80%,510,92.20%,43,7.80%,693,87.90%,95,12.10%,222,88.10%,30,11.90%,1270,83.30%,255,16.70%,94,100.00%,
Gwent,3,50.00%,3,50.00%,343,79.60%,88,20.40%,19,63.30%,11,36.70%,51,86.40%,8,13.60%,17,89.50%,2,10.50%,292,93.30%,21,6.70%,14,87.50%,2,12.50%,113,87.60%,16,12.40%,144,98.00%,3,2.00%,176,88.90%,22,11.10%,26,96.30%,1,3.70%,207,92.00%,18,8.00%,11,100.00%,
Hampshire,8,88.90%,1,11.10%,963,79.30%,251,20.70%,114,76.50%,35,23.50%,81,79.40%,21,20.60%,42,87.50%,6,12.50%,695,92.80%,54,7.20%,63,94.00%,4,6.00%,189,85.90%,31,14.10%,259,91.20%,25,8.80%,260,85.00%,46,15.00%,53,86.90%,8,13.10%,719,89.50%,84,10.50%,43,100.00%,
Hertfordshire,2,50.00%,2,50.00%,467,75.80%,149,24.20%,18,85.70%,3,14.30%,63,87.50%,9,12.50%,17,77.30%,5,22.70%,535,90.40%,57,9.60%,49,87.50%,7,12.50%,105,83.30%,21,16.70%,177,92.20%,15,7.80%,162,84.40%,30,15.60%,84,84.80%,15,15.20%,384,81.90%,85,18.10%,69,100.00%,
Humberside,2,100.00%,0,0.00%,491,84.10%,93,15.90%,68,68.00%,32,32.00%,83,80.60%,20,19.40%,19,82.60%,4,17.40%,604,93.10%,45,6.90%,27,90.00%,3,10.00%,129,83.80%,25,16.20%,194,95.60%,9,4.40%,255,88.20%,34,11.80%,87,86.10%,14,13.90%,386,85.40%,66,14.60%,23,100.00%,
Kent,7,100.00%,0,0.00%,784,75.90%,249,24.10%,67,65.00%,36,35.00%,115,85.20%,20,14.80%,28,70.00%,12,30.00%,763,84.10%,144,15.90%,68,91.90%,6,8.10%,172,81.90%,38,18.10%,247,93.90%,16,6.10%,193,81.10%,45,18.90%,165,82.90%,34,17.10%,593,86.60%,92,13.40%,70,100.00%,
Lancashire,2,100.00%,0,0.00%,834,77.10%,248,22.90%,91,75.20%,30,24.80%,146,90.10%,16,9.90%,49,92.50%,4,7.50%,811,93.40%,57,6.60%,50,82.00%,11,18.00%,236,84.60%,43,15.40%,318,94.40%,19,5.60%,400,85.80%,66,14.20%,308,87.70%,43,12.30%,754,86.20%,121,13.80%,35,100.00%,
Leicestershire,3,60.00%,2,40.00%,445,74.00%,156,26.00%,29,60.40%,19,39.60%,57,96.60%,2,3.40%,15,83.30%,3,16.70%,391,89.50%,46,10.50%,29,85.30%,5,14.70%,85,84.20%,16,15.80%,117,93.60%,8,6.40%,121,82.90%,25,17.10%,46,76.70%,14,23.30%,377,81.80%,84,18.20%,43,100.00%,
Lincolnshire,3,100.00%,0,0.00%,303,79.30%,79,20.70%,31,91.20%,3,8.80%,48,88.90%,6,11.10%,5,100.00%,0,0.00%,367,92.90%,28,7.10%,13,100.00%,0,0.00%,85,85.00%,15,15.00%,130,94.90%,7,5.10%,148,86.00%,24,14.00%,52,89.70%,6,10.30%,408,86.10%,66,13.90%,20,100.00%,
Merseyside,11,100.00%,0,0.00%,989,77.60%,285,22.40%,83,79.00%,22,21.00%,79,87.80%,11,12.20%,33,71.70%,13,28.30%,771,95.00%,41,5.00%,54,93.10%,4,6.90%,208,86.70%,32,13.30%,615,92.90%,47,7.10%,261,85.90%,43,14.10%,231,84.00%,44,16.00%,555,87.80%,77,12.20%,37,100.00%,
Metropolitan and City,68,76.40%,21,23.60%,4278,67.70%,2042,32.30%,415,71.10%,169,28.90%,642,77.60%,185,22.40%,346,75.20%,114,24.80%,3611,88.70%,459,11.30%,563,80.80%,134,19.20%,1007,82.20%,218,17.80%,2766,92.10%,236,7.90%,1608,80.90%,380,19.10%,1404,82.10%,306,17.90%,3788,77.60%,1091,22.40%,553,100.00%,
Norfolk,1,100.00%,0,0.00%,530,77.40%,155,22.60%,18,78.30%,5,21.70%,48,84.20%,9,15.80%,12,92.30%,1,7.70%,428,91.80%,38,8.20%,27,81.80%,6,18.20%,136,88.90%,17,11.10%,138,95.80%,6,4.20%,292,87.70%,41,12.30%,48,88.90%,6,11.10%,345,88.70%,44,11.30%,33,100.00%,
Northamptonshire,0,-,0,-,366,75.90%,116,24.10%,23,56.10%,18,43.90%,30,75.00%,10,25.00%,14,82.40%,3,17.60%,346,90.80%,35,9.20%,16,94.10%,1,5.90%,84,80.00%,21,20.00%,123,93.90%,8,6.10%,122,83.00%,25,17.00%,41,91.10%,4,8.90%,348,90.90%,35,9.10%,20,100.00%,
Northumbria,5,100.00%,0,0.00%,841,67.70%,402,32.30%,70,74.50%,24,25.50%,149,79.30%,39,20.70%,26,74.30%,9,25.70%,1464,90.50%,153,9.50%,56,83.60%,11,16.40%,316,82.70%,66,17.30%,311,92.60%,25,7.40%,681,81.40%,156,18.60%,170,77.60%,49,22.40%,616,79.60%,158,20.40%,31,100.00%,
North Wales,1,100.00%,0,0.00%,503,81.00%,118,19.00%,35,66.00%,18,34.00%,52,91.20%,5,8.80%,6,66.70%,3,33.30%,408,96.00%,17,4.00%,14,70.00%,6,30.00%,107,86.30%,17,13.70%,133,95.70%,6,4.30%,196,92.50%,16,7.50%,44,93.60%,3,6.40%,305,87.40%,44,12.60%,9,100.00%,
North Yorkshire,7,70.00%,3,30.00%,364,85.40%,62,14.60%,13,92.90%,1,7.10%,51,89.50%,6,10.50%,10,83.30%,2,16.70%,437,94.00%,28,6.00%,34,87.20%,5,12.80%,95,88.00%,13,12.00%,129,93.50%,9,6.50%,197,88.30%,26,11.70%,44,91.70%,4,8.30%,358,92.70%,28,7.30%,20,100.00%,
Nottinghamshire,4,100.00%,0,0.00%,688,72.70%,258,27.30%,46,73.00%,17,27.00%,86,87.80%,12,12.20%,20,58.80%,14,41.20%,666,92.00%,58,8.00%,54,93.10%,4,6.90%,169,80.50%,41,19.50%,332,95.10%,17,4.90%,272,85.00%,48,15.00%,137,81.10%,32,18.90%,468,88.80%,59,11.20%,58,100.00%,
South Wales,3,75.00%,1,25.00%,919,75.80%,294,24.20%,80,70.20%,34,29.80%,144,85.20%,25,14.80%,27,84.40%,5,15.60%,911,94.80%,50,5.20%,48,82.80%,10,17.20%,226,88.60%,29,11.40%,438,95.20%,22,4.80%,506,87.20%,74,12.80%,49,79.00%,13,21.00%,1904,91.80%,170,8.20%,39,100.00%,
South Yorkshire,9,100.00%,0,0.00%,715,77.20%,211,22.80%,28,77.80%,8,22.20%,112,84.20%,21,15.80%,28,77.80%,8,22.20%,972,93.20%,71,6.80%,74,93.70%,5,6.30%,203,85.70%,34,14.30%,334,94.10%,21,5.90%,258,85.40%,44,14.60%,106,89.10%,13,10.90%,485,91.30%,46,8.70%,33,100.00%,
Staffordshire,4,100.00%,0,0.00%,481,71.70%,190,28.30%,50,79.40%,13,20.60%,73,80.20%,18,19.80%,22,91.70%,2,8.30%,493,92.80%,38,7.20%,28,77.80%,8,22.20%,128,84.80%,23,15.20%,229,97.40%,6,2.60%,168,84.40%,31,15.60%,94,87.90%,13,12.10%,470,77.80%,134,22.20%,39,100.00%,
Suffolk,2,100.00%,0,0.00%,414,82.00%,91,18.00%,10,76.90%,3,23.10%,18,75.00%,6,25.00%,15,93.80%,1,6.30%,274,95.50%,13,4.50%,11,78.60%,3,21.40%,91,83.50%,18,16.50%,115,95.00%,6,5.00%,155,90.10%,17,9.90%,31,88.60%,4,11.40%,302,83.20%,61,16.80%,20,100.00%,
Surrey,0,-,0,-,434,78.50%,119,21.50%,40,78.40%,11,21.60%,57,90.50%,6,9.50%,12,100.00%,0,0.00%,318,91.10%,31,8.90%,66,95.70%,3,4.30%,62,78.50%,17,21.50%,180,91.80%,16,8.20%,125,88.00%,17,12.00%,60,76.90%,18,23.10%,377,88.90%,47,11.10%,26,100.00%,
Sussex,1,100.00%,0,0.00%,790,76.30%,246,23.70%,89,67.40%,43,32.60%,89,87.30%,13,12.70%,33,91.70%,3,8.30%,729,92.60%,58,7.40%,47,87.00%,7,13.00%,147,82.60%,31,17.40%,283,94.30%,17,5.70%,208,85.60%,35,14.40%,108,80.00%,27,20.00%,649,87.30%,94,12.70%,72,100.00%,
Thames Valley,9,100.00%,0,0.00%,904,72.80%,338,27.20%,124,64.20%,69,35.80%,101,78.30%,28,21.70%,35,76.10%,11,23.90%,897,92.90%,69,7.10%,94,93.10%,7,6.90%,188,86.60%,29,13.40%,385,93.00%,29,7.00%,325,83.80%,63,16.20%,123,70.30%,52,29.70%,794,86.70%,122,13.30%,77,100.00%,
Warwickshire,2,100.00%,0,0.00%,194,79.20%,51,20.80%,16,76.20%,5,23.80%,31,91.20%,3,8.80%,7,70.00%,3,30.00%,188,91.70%,17,8.30%,7,87.50%,1,12.50%,37,82.20%,8,17.80%,49,98.00%,1,2.00%,54,88.50%,7,11.50%,51,92.70%,4,7.30%,228,74.50%,78,25.50%,31,100.00%,
West Mercia,6,100.00%,0,0.00%,543,79.20%,143,20.80%,61,78.20%,17,21.80%,57,83.80%,11,16.20%,14,87.50%,2,12.50%,443,91.90%,39,8.10%,29,87.90%,4,12.10%,138,87.30%,20,12.70%,179,96.80%,6,3.20%,158,85.90%,26,14.10%,72,92.30%,6,7.70%,479,88.50%,62,11.50%,28,100.00%,
West Midlands,12,75.00%,4,25.00%,1591,75.00%,531,25.00%,140,76.10%,44,23.90%,214,78.40%,59,21.60%,163,83.20%,33,16.80%,1784,92.60%,143,7.40%,65,81.30%,15,18.80%,295,86.80%,45,13.20%,552,95.30%,27,4.70%,434,86.60%,67,13.40%,345,89.80%,39,10.20%,998,83.70%,194,16.30%,164,100.00%,
West Yorkshire,10,83.30%,2,16.70%,1385,76.30%,431,23.70%,159,76.80%,48,23.20%,232,85.00%,41,15.00%,60,88.20%,8,11.80%,1156,91.40%,109,8.60%,82,82.00%,18,18.00%,312,84.60%,57,15.40%,472,94.60%,27,5.40%,394,82.10%,86,17.90%,162,84.80%,29,15.20%,907,83.60%,178,16.40%,93,100.00%,
Wiltshire,0,-,0,-,277,83.40%,55,16.60%,23,85.20%,4,14.80%,25,80.60%,6,19.40%,11,84.60%,2,15.40%,241,94.10%,15,5.90%,19,86.40%,3,13.60%,78,87.60%,11,12.40%,83,95.40%,4,4.60%,103,84.40%,19,15.60%,9,81.80%,2,18.20%,234,90.00%,26,10.00%,12,100.00%,
National,193,76.00%,61,24.00%,"31,235",75.70%,"10,042",24.30%,"2,859",71.00%,"1,169",29.00%,"4,065",84.60%,742,15.40%,"1,230",75.60%,396,24.40%,"26,333",91.50%,"2,454",8.50%,"2,351",84.80%,420,15.20%,"7,246",85.50%,"1,225",14.50%,"12,408",93.80%,814,6.20%,"10,978",84.80%,"1,974",15.20%,"5,030",82.50%,"1,065",17.50%,"25,455",84.30%,"4,742",15.70%,"2,759",100.00%,
Avon and Somerset,10,100.00%,0,0.00%,897,77.50%,261,22.50%,134,71.70%,53,28.30%,100,90.90%,10,9.10%,32,80.00%,8,20.00%,720,93.30%,52,6.70%,51,91.10%,5,8.90%,237,86.20%,38,13.80%,313,94.80%,17,5.20%,227,85.00%,40,15.00%,180,83.30%,36,16.70%,616,81.90%,136,18.10%,93,100.00%,
Bedfordshire,3,100.00%,0,0.00%,253,76.20%,79,23.80%,15,78.90%,4,21.10%,40,88.90%,5,11.10%,15,78.90%,4,21.10%,227,91.90%,20,8.10%,37,90.20%,4,9.80%,73,84.90%,13,15.10%,82,90.10%,9,9.90%,87,87.00%,13,13.00%,21,60.00%,14,40.00%,218,90.10%,24,9.90%,59,100.00%,
Cambridgeshire,0,-,0,-,363,83.40%,72,16.60%,23,82.10%,5,17.90%,40,85.10%,7,14.90%,26,81.30%,6,18.80%,197,88.70%,25,11.30%,24,85.70%,4,14.30%,98,89.10%,12,10.90%,120,96.80%,4,3.20%,60,84.50%,11,15.50%,37,74.00%,13,26.00%,278,92.40%,23,7.60%,42,100.00%,
Cheshire,1,100.00%,0,0.00%,738,83.10%,150,16.90%,73,77.70%,21,22.30%,75,84.30%,14,15.70%,12,85.70%,2,14.30%,538,95.10%,28,4.90%,35,92.10%,3,7.90%,166,90.20%,18,9.80%,226,95.40%,11,4.60%,252,89.70%,29,10.30%,57,90.50%,6,9.50%,470,86.90%,71,13.10%,24,100.00%,
Cleveland,0,0.00%,1,100.00%,334,73.40%,121,26.60%,38,69.10%,17,30.90%,110,86.60%,17,13.40%,29,87.90%,4,12.10%,807,93.70%,54,6.30%,44,88.00%,6,12.00%,145,88.40%,19,11.60%,143,96.60%,5,3.40%,258,83.50%,51,16.50%,46,67.60%,22,32.40%,231,91.70%,21,8.30%,27,100.00%,
Cumbria,0,-,0,-,279,85.60%,47,14.40%,21,80.80%,5,19.20%,27,93.10%,2,6.90%,6,100.00%,0,0.00%,255,94.40%,15,5.60%,27,93.10%,2,6.90%,96,93.20%,7,6.80%,127,95.50%,6,4.50%,120,93.80%,8,6.30%,82,95.30%,4,4.70%,238,88.50%,31,11.50%,5,100.00%,
Derbyshire,1,100.00%,0,0.00%,615,79.30%,161,20.70%,56,90.30%,6,9.70%,61,91.00%,6,9.00%,26,81.30%,6,18.80%,423,86.30%,67,13.70%,29,78.40%,8,21.60%,128,79.50%,33,20.50%,190,95.00%,10,5.00%,205,88.40%,27,11.60%,64,80.00%,16,20.00%,363,89.00%,45,11.00%,44,100.00%,
Devon and Cornwall,1,33.30%,2,66.70%,525,75.80%,168,24.20%,35,85.40%,6,14.60%,92,92.00%,8,8.00%,13,65.00%,7,35.00%,424,93.80%,28,6.20%,51,83.60%,10,16.40%,166,86.90%,25,13.10%,221,94.00%,14,6.00%,168,80.00%,42,20.00%,234,79.30%,61,20.70%,632,91.30%,60,8.70%,50,100.00%,
Dorset,1,100.00%,0,0.00%,433,81.10%,101,18.90%,28,68.30%,13,31.70%,30,81.10%,7,18.90%,4,80.00%,1,20.00%,345,94.50%,20,5.50%,22,95.70%,1,4.30%,80,82.50%,17,17.50%,114,95.00%,6,5.00%,120,86.30%,19,13.70%,27,81.80%,6,18.20%,287,87.20%,42,12.80%,44,100.00%,
Durham,1,100.00%,0,0.00%,326,76.70%,99,23.30%,26,65.00%,14,35.00%,66,84.60%,12,15.40%,4,100.00%,0,0.00%,389,91.50%,36,8.50%,19,79.20%,5,20.80%,112,80.60%,27,19.40%,69,98.60%,1,1.40%,173,90.60%,18,9.40%,33,73.30%,12,26.70%,282,92.80%,22,7.20%,13,100.00%,
Dyfed Powys,2,66.70%,1,33.30%,240,70.40%,101,29.60%,21,63.60%,12,36.40%,17,77.30%,5,22.70%,3,100.00%,0,0.00%,146,89.60%,17,10.40%,13,92.90%,1,7.10%,57,82.60%,12,17.40%,214,94.70%,12,5.30%,104,87.40%,15,12.60%,15,88.20%,2,11.80%,209,79.50%,54,20.50%,19,100.00%,
Essex,7,77.80%,2,22.20%,857,72.30%,328,27.70%,100,65.80%,52,34.20%,80,76.20%,25,23.80%,36,69.20%,16,30.80%,570,91.90%,50,8.10%,58,86.60%,9,13.40%,185,88.90%,23,11.10%,227,91.50%,21,8.50%,152,84.90%,27,15.10%,67,72.80%,25,27.20%,714,79.00%,190,21.00%,70,100.00%,
Gloucestershire,1,100.00%,0,0.00%,274,76.30%,85,23.70%,13,92.90%,1,7.10%,29,76.30%,9,23.70%,11,100.00%,0,0.00%,237,95.20%,12,4.80%,13,86.70%,2,13.30%,77,85.60%,13,14.40%,77,96.30%,3,3.80%,40,83.30%,8,16.70%,32,78.00%,9,22.00%,192,93.20%,14,6.80%,17,100.00%,
GreaterManchester,4,80.00%,1,20.00%,1927,81.00%,453,19.00%,174,68.50%,80,31.50%,216,91.10%,21,8.90%,101,75.90%,32,24.10%,1159,94.20%,71,5.80%,107,85.60%,18,14.40%,463,91.10%,45,8.90%,526,92.40%,43,7.60%,710,87.80%,99,12.20%,298,87.40%,43,12.60%,1271,84.70%,229,15.30%,139,100.00%,
Gwent,3,100.00%,0,0.00%,394,79.80%,100,20.20%,20,76.90%,6,23.10%,42,77.80%,12,22.20%,6,66.70%,3,33.30%,277,93.60%,19,6.40%,21,84.00%,4,16.00%,87,82.90%,18,17.10%,152,95.00%,8,5.00%,136,83.40%,27,16.60%,18,69.20%,8,30.80%,211,92.50%,17,7.50%,12,100.00%,
Hampshire,8,100.00%,0,0.00%,883,80.40%,215,19.60%,107,65.20%,57,34.80%,130,93.50%,9,6.50%,14,66.70%,7,33.30%,717,91.10%,70,8.90%,65,84.40%,12,15.60%,168,86.20%,27,13.80%,307,93.90%,20,6.10%,292,87.70%,41,12.30%,82,82.80%,17,17.20%,756,86.20%,121,13.80%,47,100.00%,
Hertfordshire,2,100.00%,0,0.00%,510,74.70%,173,25.30%,19,76.00%,6,24.00%,67,81.70%,15,18.30%,24,70.60%,10,29.40%,504,89.20%,61,10.80%,42,85.70%,7,14.30%,86,76.80%,26,23.20%,174,95.10%,9,4.90%,133,85.80%,22,14.20%,43,71.70%,17,28.30%,440,83.00%,90,17.00%,71,100.00%,
Humberside,3,100.00%,0,0.00%,529,85.20%,92,14.80%,93,68.90%,42,31.10%,86,93.50%,6,6.50%,8,61.50%,5,38.50%,542,95.40%,26,4.60%,31,81.60%,7,18.40%,127,92.70%,10,7.30%,168,95.50%,8,4.50%,226,91.90%,20,8.10%,36,94.70%,2,5.30%,381,85.20%,66,14.80%,24,100.00%,
Kent,8,66.70%,4,33.30%,796,76.50%,244,23.50%,88,72.10%,34,27.90%,135,86.50%,21,13.50%,25,67.60%,12,32.40%,782,88.00%,107,12.00%,76,88.40%,10,11.60%,160,83.80%,31,16.20%,337,95.20%,17,4.80%,191,79.90%,48,20.10%,129,76.80%,39,23.20%,615,88.10%,83,11.90%,108,100.00%,
Lancashire,10,90.90%,1,9.10%,848,78.80%,228,21.20%,85,71.40%,34,28.60%,170,81.70%,38,18.30%,28,75.70%,9,24.30%,788,94.50%,46,5.50%,52,83.90%,10,16.10%,276,87.10%,41,12.90%,316,94.30%,19,5.70%,366,87.80%,51,12.20%,246,86.90%,37,13.10%,740,83.40%,147,16.60%,50,100.00%,
Leicestershire,6,100.00%,0,0.00%,444,79.70%,113,20.30%,43,71.70%,17,28.30%,61,79.20%,16,20.80%,4,57.10%,3,42.90%,355,92.00%,31,8.00%,29,90.60%,3,9.40%,74,79.60%,19,20.40%,97,81.50%,22,18.50%,108,87.10%,16,12.90%,34,82.90%,7,17.10%,374,80.10%,93,19.90%,37,100.00%,
Lincolnshire,4,66.70%,2,33.30%,342,78.80%,92,21.20%,34,87.20%,5,12.80%,57,91.90%,5,8.10%,8,72.70%,3,27.30%,387,94.40%,23,5.60%,13,61.90%,8,38.10%,82,88.20%,11,11.80%,106,92.20%,9,7.80%,169,91.80%,15,8.20%,54,73.00%,20,27.00%,408,84.30%,76,15.70%,30,100.00%,
Merseyside,7,77.80%,2,22.20%,1017,79.60%,261,20.40%,69,71.90%,27,28.10%,77,88.50%,10,11.50%,28,75.70%,9,24.30%,663,94.60%,38,5.40%,45,76.30%,14,23.70%,192,90.60%,20,9.40%,646,95.30%,32,4.70%,344,84.90%,61,15.10%,96,76.80%,29,23.20%,554,88.60%,71,11.40%,36,100.00%,
Metropolitan and City,39,72.20%,15,27.80%,4324,65.00%,2329,35.00%,402,65.20%,215,34.80%,659,80.70%,158,19.30%,301,71.00%,123,29.00%,3217,86.00%,523,14.00%,602,84.00%,115,16.00%,1017,82.80%,212,17.20%,2949,93.10%,217,6.90%,1488,79.10%,392,20.90%,1425,81.60%,322,18.40%,4225,75.30%,1385,24.70%,752,100.00%,
Norfolk,0,-,0,-,582,76.10%,183,23.90%,23,92.00%,2,8.00%,53,88.30%,7,11.70%,11,78.60%,3,21.40%,365,95.50%,17,4.50%,19,95.00%,1,5.00%,122,81.90%,27,18.10%,160,95.20%,8,4.80%,256,88.30%,34,11.70%,51,83.60%,10,16.40%,370,88.10%,50,11.90%,23,100.00%,
Northamptonshire,1,100.00%,0,0.00%,381,74.30%,132,25.70%,39,70.90%,16,29.10%,35,72.90%,13,27.10%,11,68.80%,5,31.30%,342,87.70%,48,12.30%,21,70.00%,9,30.00%,82,81.20%,19,18.80%,117,96.70%,4,3.30%,92,77.30%,27,22.70%,28,87.50%,4,12.50%,369,83.90%,71,16.10%,40,100.00%,
Northumbria,3,75.00%,1,25.00%,961,74.70%,326,25.30%,69,65.70%,36,34.30%,155,84.20%,29,15.80%,28,77.80%,8,22.20%,1304,91.90%,115,8.10%,63,81.80%,14,18.20%,373,82.90%,77,17.10%,288,94.70%,16,5.30%,612,83.00%,125,17.00%,119,81.50%,27,18.50%,758,83.10%,154,16.90%,66,100.00%,
